,note,length,diatonic root
0,55.0,0.125,4.0
1,57.0,0.125,4.0
2,55.0,0.125,4.0
3,57.0,0.125,4.0
4,55.0,0.125,4.0
5,57.0,0.5,4.0
6,57.0,0.125,4.0
7,57.0,0.125,4.0
8,59.0,0.125,4.0
9,57.0,0.125,5.0
10,59.0,0.125,5.0
11,57.0,0.125,5.0
12,57.0,0.25,5.0
13,55.0,0.125,5.0
14,60.0,0.5,5.0
15,60.0,0.125,6.0
16,60.0,0.125,6.0
17,55.0,0.125,6.0
18,55.0,0.125,6.0
19,53.0,1.125,6.0
20,55.0,0.125,4.0
21,57.0,0.125,4.0
22,55.0,0.125,4.0
23,57.0,0.125,4.0
24,55.0,0.125,4.0
25,57.0,0.25,4.0
26,53.0,0.25,4.0
27,53.0,0.125,4.0
28,53.0,0.125,4.0
29,59.0,0.125,4.0
30,57.0,0.125,5.0
31,57.0,0.125,5.0
32,57.0,0.125,5.0
33,57.0,0.125,5.0
34,55.0,0.125,5.0
35,57.0,0.375,5.0
36,60.0,0.125,5.0
37,60.0,0.125,6.0
38,60.0,0.125,6.0
39,55.0,0.125,6.0
40,55.0,0.125,6.0
41,53.0,1.125,6.0
42,55.0,0.125,4.0
43,57.0,0.125,4.0
44,57.0,0.125,4.0
45,57.0,0.125,4.0
46,55.0,0.125,4.0
47,57.0,0.375,4.0
48,57.0,0.125,4.0
49,57.0,0.125,4.0
50,59.0,0.125,4.0
51,57.0,0.125,5.0
52,57.0,0.125,5.0
53,57.0,0.125,5.0
54,57.0,0.125,5.0
55,55.0,0.125,5.0
56,57.0,0.25,5.0
57,60.0,0.125,5.0
58,60.0,0.125,6.0
59,60.0,0.125,6.0
60,55.0,0.125,6.0
61,55.0,0.125,6.0
62,55.0,0.125,6.0
63,53.0,0.875,6.0
64,55.0,0.125,4.0
65,55.0,0.125,4.0
66,55.0,0.125,4.0
67,57.0,0.125,4.0
68,55.0,0.125,4.0
69,57.0,0.125,4.0
70,57.0,0.25,4.0
71,57.0,0.125,4.0
72,57.0,0.125,4.0
73,57.0,0.125,4.0
74,59.0,0.125,4.0
75,57.0,0.125,5.0
76,59.0,0.125,5.0
77,57.0,0.125,5.0
78,59.0,0.125,5.0
79,55.0,0.125,5.0
80,57.0,0.125,5.0
81,55.0,0.125,5.0
82,60.0,0.125,5.0
83,60.0,0.125,6.0
84,60.0,0.125,6.0
85,60.0,0.125,6.0
86,60.0,0.125,6.0
87,57.0,0.5,6.0
88,55.0,0.125,5.0
89,57.0,0.125,5.0
90,60.0,0.125,5.0
91,60.0,0.25,5.0
92,57.0,0.25,5.0
93,57.0,0.25,5.0
94,57.0,0.125,4.0
