,note,length,diatonic root
0,48.0,0.125,4.0
1,52.0,0.125,4.0
2,52.0,0.125,1.0
3,52.0,0.125,1.0
4,53.0,0.625,1.0
5,55.0,0.25,4.0
6,48.0,0.125,5.0
7,50.0,0.125,5.0
8,48.0,0.125,5.0
9,45.0,0.375,5.0
10,48.0,0.125,4.0
11,50.0,0.125,4.0
12,48.0,0.125,1.0
13,48.0,0.125,1.0
14,48.0,0.75,1.0
15,60.0,0.125,4.0
16,55.0,0.125,5.0
17,52.0,0.125,5.0
18,50.0,0.125,5.0
19,50.0,0.125,4.0
20,48.0,0.125,4.0
21,48.0,0.125,4.0
22,52.0,0.125,4.0
23,52.0,0.125,1.0
24,52.0,0.125,1.0
25,53.0,0.625,1.0
26,55.0,0.25,4.0
27,48.0,0.125,5.0
28,50.0,0.125,5.0
29,52.0,0.375,5.0
30,48.0,0.125,4.0
31,50.0,0.125,4.0
32,48.0,0.125,1.0
33,48.0,0.125,1.0
34,48.0,1.625,1.0
35,48.0,0.125,4.0
36,50.0,0.25,4.0
37,50.0,0.125,1.0
38,48.0,0.125,1.0
39,50.0,0.125,1.0
40,48.0,0.25,4.0
41,45.0,0.125,4.0
42,48.0,0.125,4.0
43,45.0,0.125,5.0
44,45.0,0.125,5.0
45,45.0,0.5,5.0
46,48.0,0.125,4.0
47,60.0,0.125,4.0
48,60.0,0.25,1.0
49,52.0,0.125,1.0
50,53.0,0.375,1.0
51,50.0,0.25,4.0
52,52.0,0.125,5.0
53,48.0,0.125,5.0
54,50.0,0.5,5.0
55,48.0,0.125,4.0
56,50.0,0.25,4.0
57,50.0,0.125,1.0
58,48.0,0.125,1.0
59,50.0,0.125,1.0
60,48.0,0.125,4.0
61,48.0,0.125,4.0
62,45.0,0.125,4.0
63,48.0,0.25,4.0
64,45.0,0.125,5.0
65,45.0,0.5,5.0
66,48.0,0.125,4.0
67,50.0,0.125,4.0
68,50.0,0.125,1.0
69,48.0,0.125,1.0
70,48.0,0.125,1.0
71,50.0,0.125,1.0
72,48.0,0.125,4.0
73,48.0,0.125,4.0
74,45.0,0.125,4.0
75,48.0,0.25,4.0
76,45.0,0.125,5.0
77,45.0,0.5,5.0
78,48.0,0.125,4.0
79,52.0,0.125,4.0
80,52.0,0.125,1.0
81,52.0,0.125,1.0
82,53.0,0.625,1.0
83,60.0,0.125,4.0
84,55.0,0.125,5.0
85,52.0,0.125,5.0
86,50.0,0.125,5.0
87,48.0,0.125,4.0
88,50.0,0.125,4.0
89,48.0,0.125,4.0
90,50.0,0.125,4.0
91,48.0,0.125,1.0
92,48.0,0.125,1.0
93,48.0,0.75,1.0
94,55.0,0.25,4.0
95,48.0,0.125,5.0
96,50.0,0.25,5.0
97,48.0,0.125,4.0
98,50.0,0.125,4.0
99,48.0,0.125,4.0
100,52.0,0.125,4.0
101,52.0,0.125,1.0
102,52.0,0.125,1.0
103,53.0,0.625,1.0
104,55.0,0.25,4.0
