,note,length,diatonic root
0,48.0,0.5,1.0
1,48.0,0.5,1.0
2,48.0,0.25,1.0
3,45.0,0.5,1.0
4,50.0,0.5,1.0
5,48.0,0.25,1.0
6,48.0,1.125,1.0
7,45.0,0.125,1.0
8,45.0,0.125,1.0
9,43.0,0.125,1.0
10,43.0,0.125,5.0
11,43.0,0.25,5.0
12,43.0,1.125,5.0
13,43.0,0.125,5.0
14,43.0,0.125,5.0
15,43.0,0.25,5.0
16,43.0,0.125,5.0
17,43.0,1.625,5.0
18,43.0,0.5,5.0
19,43.0,0.25,5.0
20,43.0,0.25,5.0
21,43.0,0.25,5.0
22,43.0,0.25,5.0
23,43.0,0.25,5.0
24,43.0,0.25,5.0
25,45.0,0.5,5.0
26,43.0,1.5,5.0
27,48.0,0.25,5.0
28,48.0,0.75,1.0
29,48.0,0.25,1.0
30,48.0,0.125,1.0
31,48.0,0.25,1.0
32,48.0,0.875,1.0
33,50.0,0.5,1.0
34,48.0,1.0,1.0
35,48.0,0.5,1.0
36,48.0,0.5,1.0
37,48.0,0.25,1.0
38,45.0,0.25,1.0
39,48.0,0.25,1.0
40,45.0,0.5,1.0
41,50.0,0.5,1.0
42,48.0,0.25,1.0
43,45.0,0.5,1.0
44,43.0,0.25,1.0
45,41.0,0.25,1.0
46,43.0,0.125,1.0
47,41.0,0.125,5.0
48,43.0,0.25,5.0
49,43.0,1.125,5.0
50,43.0,0.25,5.0
51,43.0,0.125,5.0
52,41.0,0.125,5.0
53,43.0,0.25,5.0
54,43.0,1.125,5.0
55,41.0,0.25,5.0
56,43.0,0.5,5.0
57,43.0,0.5,5.0
58,43.0,0.25,5.0
59,41.0,0.125,5.0
60,43.0,0.375,5.0
61,41.0,0.25,5.0
62,45.0,0.125,5.0
63,43.0,2.0,5.0
64,43.0,0.25,7.0
65,43.0,0.375,7.0
66,43.0,0.25,7.0
67,43.0,0.375,7.0
68,43.0,0.125,7.0
69,43.0,0.25,7.0
70,43.0,2.25,7.0
71,41.0,0.25,4.0
72,41.0,0.25,4.0
73,38.0,0.25,4.0
74,41.0,0.125,4.0
75,38.0,0.25,4.0
76,41.0,0.25,4.0
77,38.0,0.375,4.0
78,43.0,0.5,4.0
79,41.0,0.25,4.0
80,41.0,0.875,4.0
81,41.0,0.125,4.0
82,43.0,0.125,4.0
83,43.0,0.125,4.0
84,43.0,0.25,4.0
85,43.0,0.25,5.0
86,43.0,3.0,5.0
87,45.0,0.125,5.0
88,48.0,0.125,5.0
89,48.0,0.125,5.0
90,48.0,0.25,5.0
91,48.0,0.25,1.0
92,48.0,4.0,1.0
93,48.0,0.25,1.0
94,48.0,0.375,1.0
95,45.0,0.375,1.0
96,48.0,0.375,1.0
97,48.0,0.25,1.0
98,45.0,0.25,1.0
99,50.0,0.5,1.0
100,48.0,1.5,1.0
101,43.0,0.125,1.0
102,41.0,0.125,1.0
103,43.0,0.25,1.0
104,43.0,0.125,5.0
105,43.0,1.5,5.0
106,43.0,0.125,5.0
107,41.0,0.125,5.0
108,43.0,0.25,5.0
109,43.0,0.25,5.0
110,43.0,1.125,5.0
111,43.0,0.125,5.0
112,41.0,0.125,5.0
113,43.0,0.125,5.0
114,41.0,0.25,5.0
115,43.0,1.125,5.0
116,43.0,0.125,5.0
117,43.0,0.125,5.0
118,41.0,0.125,5.0
119,43.0,0.125,5.0
120,41.0,0.125,5.0
121,43.0,0.25,5.0
122,43.0,1.5,5.0
123,48.0,0.5,5.0
124,48.0,0.25,1.0
125,45.0,0.25,1.0
126,48.0,0.5,1.0
127,48.0,0.125,1.0
128,45.0,0.25,1.0
129,50.0,0.375,1.0
130,48.0,1.5,1.0
131,45.0,0.25,1.0
132,48.0,0.5,1.0
133,48.0,0.25,1.0
134,45.0,0.25,1.0
135,48.0,0.25,1.0
136,45.0,0.25,1.0
137,48.0,0.25,1.0
138,45.0,0.25,1.0
139,50.0,0.5,1.0
140,48.0,0.5,1.0
141,45.0,0.5,1.0
142,43.0,0.25,1.0
143,41.0,0.25,1.0
144,43.0,0.125,1.0
145,41.0,0.125,5.0
146,43.0,0.25,5.0
147,43.0,1.125,5.0
148,43.0,0.125,5.0
149,41.0,0.125,5.0
150,43.0,0.125,5.0
151,41.0,0.125,5.0
152,43.0,0.25,5.0
153,43.0,1.125,5.0
154,43.0,0.125,5.0
155,41.0,0.125,5.0
156,43.0,0.125,5.0
157,41.0,0.125,5.0
158,43.0,0.25,5.0
159,43.0,1.125,5.0
160,43.0,0.125,5.0
161,41.0,0.125,5.0
162,43.0,0.125,5.0
163,41.0,0.125,5.0
164,43.0,0.25,5.0
165,43.0,1.75,5.0
166,43.0,0.25,7.0
167,43.0,0.5,7.0
168,43.0,0.125,7.0
169,43.0,0.375,7.0
170,43.0,0.125,7.0
171,43.0,0.25,7.0
172,43.0,2.25,7.0
173,41.0,0.25,4.0
174,41.0,0.25,4.0
175,41.0,0.25,4.0
176,41.0,0.125,4.0
177,38.0,0.25,4.0
178,41.0,0.25,4.0
179,38.0,0.375,4.0
180,43.0,0.5,4.0
181,41.0,0.25,4.0
182,41.0,0.875,4.0
183,41.0,0.125,4.0
184,43.0,0.125,4.0
185,43.0,0.125,4.0
186,43.0,0.25,4.0
187,43.0,0.25,5.0
188,43.0,3.0,5.0
189,48.0,0.125,5.0
190,48.0,0.125,5.0
191,48.0,0.125,5.0
192,48.0,0.25,5.0
193,48.0,0.25,1.0
194,48.0,3.0,1.0
195,50.0,0.125,1.0
196,52.0,0.125,1.0
197,50.0,0.125,1.0
198,52.0,0.25,1.0
199,52.0,0.25,1.0
200,52.0,3.0,1.0
201,50.0,0.125,1.0
202,50.0,0.125,1.0
203,50.0,0.25,1.0
204,50.0,0.25,5.0
205,50.0,3.0,5.0
206,50.0,0.125,5.0
207,48.0,0.125,5.0
208,50.0,0.25,5.0
209,50.0,0.25,5.0
210,50.0,3.0,5.0
211,52.0,0.25,5.0
212,52.0,0.25,5.0
213,52.0,0.25,1.0
214,52.0,3.5,1.0
215,52.0,0.25,1.0
216,52.0,0.25,1.0
217,52.0,3.0,1.0
218,48.0,0.125,1.0
219,50.0,0.125,1.0
220,48.0,0.125,1.0
221,50.0,0.25,1.0
222,50.0,0.25,5.0
223,50.0,3.0,5.0
224,48.0,0.125,5.0
225,50.0,0.125,5.0
226,48.0,0.125,5.0
227,50.0,0.25,5.0
228,50.0,0.25,5.0
229,50.0,3.5,5.0
230,43.0,0.25,7.0
231,43.0,0.5,7.0
232,43.0,0.125,7.0
233,43.0,0.375,7.0
234,43.0,0.125,7.0
235,43.0,0.25,7.0
236,43.0,2.25,7.0
237,41.0,0.25,4.0
238,41.0,0.25,4.0
239,41.0,0.25,4.0
240,41.0,0.125,4.0
241,38.0,0.25,4.0
242,41.0,0.25,4.0
243,38.0,0.375,4.0
244,43.0,0.5,4.0
245,41.0,0.25,4.0
246,41.0,0.875,4.0
247,41.0,0.125,4.0
248,43.0,0.125,4.0
249,41.0,0.125,4.0
250,43.0,0.25,4.0
251,43.0,0.25,5.0
252,43.0,3.0,5.0
253,48.0,0.125,5.0
254,48.0,0.125,5.0
255,45.0,0.125,5.0
256,48.0,0.25,5.0
257,48.0,0.25,1.0
258,48.0,3.0,1.0
259,48.0,0.25,1.0
260,48.0,0.5,1.0
261,48.0,0.5,1.0
262,48.0,0.25,1.0
263,45.0,0.5,1.0
264,50.0,0.5,1.0
265,48.0,0.25,1.0
266,48.0,1.125,1.0
267,43.0,0.125,1.0
268,43.0,0.125,1.0
269,43.0,0.125,1.0
270,43.0,0.125,5.0
271,43.0,0.25,5.0
272,43.0,1.125,5.0
273,43.0,0.125,5.0
274,43.0,0.125,5.0
275,43.0,0.25,5.0
276,43.0,0.125,5.0
277,43.0,1.5,5.0
278,41.0,0.25,5.0
279,43.0,0.25,5.0
280,43.0,0.25,5.0
281,43.0,0.125,5.0
282,41.0,0.25,5.0
283,43.0,0.125,5.0
284,41.0,0.5,5.0
285,43.0,0.125,5.0
286,41.0,0.375,5.0
287,47.0,0.5,5.0
288,43.0,1.5,5.0
289,48.0,0.25,5.0
290,48.0,0.75,1.0
291,48.0,0.25,1.0
292,45.0,0.125,1.0
293,48.0,0.25,1.0
294,48.0,0.875,1.0
295,50.0,0.5,1.0
296,48.0,0.75,1.0
297,45.0,0.25,1.0
298,48.0,0.5,1.0
299,48.0,0.5,1.0
300,48.0,0.25,1.0
301,45.0,0.25,1.0
302,48.0,0.25,1.0
303,45.0,0.5,1.0
304,50.0,0.5,1.0
305,48.0,0.25,1.0
306,45.0,0.5,1.0
307,43.0,0.25,1.0
308,43.0,0.25,1.0
309,43.0,0.125,1.0
310,41.0,0.125,5.0
311,43.0,0.25,5.0
312,43.0,1.125,5.0
313,43.0,0.25,5.0
314,43.0,0.25,5.0
315,43.0,0.25,5.0
316,43.0,1.125,5.0
317,41.0,0.25,5.0
318,43.0,0.5,5.0
319,43.0,0.5,5.0
320,43.0,0.25,5.0
321,41.0,0.125,5.0
322,43.0,0.375,5.0
323,41.0,0.25,5.0
324,45.0,0.125,5.0
325,43.0,2.0,5.0
326,43.0,0.25,7.0
327,43.0,0.375,7.0
328,43.0,0.25,7.0
329,41.0,0.375,7.0
330,43.0,0.125,7.0
331,41.0,0.25,7.0
332,43.0,2.25,7.0
333,38.0,0.25,4.0
334,41.0,0.25,4.0
335,38.0,0.25,4.0
336,41.0,0.125,4.0
337,38.0,0.25,4.0
338,41.0,0.375,4.0
339,38.0,0.25,4.0
340,43.0,0.5,4.0
341,41.0,0.25,4.0
342,41.0,0.875,4.0
343,43.0,0.125,4.0
344,43.0,0.125,4.0
345,41.0,0.125,4.0
346,43.0,0.25,4.0
347,43.0,0.25,5.0
348,43.0,3.0,5.0
349,48.0,0.125,5.0
350,48.0,0.125,5.0
351,48.0,0.125,5.0
352,48.0,0.25,5.0
353,48.0,0.25,1.0
354,48.0,3.0,1.0
355,52.0,0.125,1.0
356,52.0,0.125,1.0
357,52.0,0.25,1.0
358,52.0,0.25,1.0
359,52.0,1.125,1.0
