,note,length,diatonic root
0,60.0,0.5,5.0
1,60.0,0.25,4.0
2,59.0,0.125,4.0
3,57.0,0.125,4.0
4,55.0,0.25,4.0
5,55.0,0.125,5.0
6,55.0,0.25,5.0
7,55.0,0.125,5.0
8,53.0,0.25,5.0
9,55.0,0.125,5.0
10,55.0,0.125,1.0
11,57.0,0.125,1.0
12,55.0,0.375,1.0
13,52.0,0.125,1.0
14,48.0,0.625,1.0
15,52.0,0.125,4.0
16,52.0,0.125,4.0
17,55.0,0.25,4.0
18,55.0,0.125,4.0
19,55.0,0.125,1.0
20,57.0,0.125,1.0
21,55.0,0.5,1.0
22,55.0,0.125,1.0
23,57.0,0.25,1.0
24,55.0,0.25,4.0
25,53.0,0.25,4.0
26,52.0,0.25,4.0
27,52.0,0.125,4.0
28,50.0,0.25,5.0
29,50.0,1.625,5.0
30,60.0,0.5,5.0
31,60.0,0.25,4.0
32,59.0,0.125,4.0
33,57.0,0.125,4.0
34,55.0,0.25,4.0
35,55.0,0.125,5.0
36,55.0,0.25,5.0
37,55.0,0.125,5.0
38,53.0,0.25,5.0
39,55.0,0.125,5.0
40,57.0,0.25,1.0
41,55.0,0.375,1.0
42,52.0,0.125,1.0
43,48.0,0.625,1.0
44,52.0,0.125,4.0
45,52.0,0.125,4.0
46,55.0,0.125,4.0
47,55.0,0.25,4.0
48,55.0,0.125,1.0
49,57.0,0.125,1.0
50,55.0,0.375,1.0
51,52.0,0.25,1.0
52,53.0,0.125,1.0
53,52.0,0.375,4.0
54,50.0,0.25,4.0
55,48.0,0.125,4.0
56,50.0,0.125,4.0
57,50.0,0.625,4.0
58,52.0,0.125,5.0
59,50.0,0.125,5.0
60,48.0,0.125,5.0
61,48.0,2.0,5.0
62,57.0,0.125,1.0
63,60.0,0.25,4.0
64,60.0,0.25,4.0
65,59.0,0.375,4.0
66,57.0,0.125,4.0
67,55.0,0.25,5.0
68,55.0,0.375,5.0
69,53.0,0.25,5.0
70,55.0,0.125,5.0
71,57.0,0.375,1.0
72,55.0,0.125,1.0
73,52.0,0.375,1.0
74,48.0,0.5,1.0
75,52.0,0.125,4.0
76,55.0,0.375,4.0
77,55.0,0.125,4.0
78,57.0,0.25,1.0
79,55.0,0.375,1.0
80,52.0,0.125,1.0
81,50.0,0.125,1.0
82,48.0,0.5,1.0
83,53.0,0.125,4.0
84,55.0,0.25,4.0
85,55.0,0.375,4.0
86,57.0,0.25,1.0
87,55.0,0.25,1.0
88,52.0,0.125,1.0
89,48.0,0.625,1.0
90,53.0,0.125,4.0
91,55.0,0.25,4.0
92,55.0,0.375,4.0
93,57.0,0.125,1.0
94,55.0,0.375,1.0
95,52.0,0.25,1.0
96,48.0,0.5,1.0
97,52.0,0.125,4.0
98,55.0,0.25,4.0
99,55.0,0.25,4.0
100,57.0,0.25,1.0
101,55.0,0.5,1.0
102,55.0,0.125,1.0
103,57.0,0.125,1.0
104,55.0,0.375,4.0
105,53.0,0.125,4.0
106,52.0,0.25,4.0
107,52.0,0.25,4.0
108,50.0,0.125,5.0
109,50.0,1.5,5.0
110,60.0,0.25,5.0
111,60.0,0.125,5.0
112,60.0,0.25,4.0
113,60.0,0.25,4.0
114,59.0,0.375,4.0
115,57.0,0.125,4.0
116,55.0,0.25,5.0
117,55.0,0.125,5.0
118,53.0,0.25,5.0
119,53.0,0.25,5.0
120,55.0,0.125,5.0
121,57.0,0.25,1.0
122,55.0,0.25,1.0
123,52.0,0.25,1.0
124,48.0,0.625,1.0
125,52.0,0.125,4.0
