,note,length,diatonic root
0,60.0,0.125,1.0
1,57.0,0.125,1.0
2,55.0,0.125,1.0
3,57.0,0.25,1.0
4,60.0,1.5,4.0
5,60.0,0.125,4.0
6,57.0,0.125,4.0
7,55.0,0.625,4.0
8,60.0,0.25,4.0
9,60.0,0.125,4.0
10,50.0,0.25,4.0
11,48.0,2.0,1.0
12,60.0,0.375,1.0
13,57.0,0.125,1.0
14,55.0,0.25,1.0
15,57.0,0.25,1.0
16,60.0,1.5,4.0
17,60.0,0.25,4.0
18,55.0,0.625,4.0
19,60.0,0.25,4.0
20,60.0,0.125,4.0
21,50.0,0.25,4.0
22,48.0,1.625,1.0
23,52.0,0.125,1.0
24,53.0,0.125,1.0
25,55.0,0.25,1.0
26,57.0,0.125,5.0
27,59.0,0.125,5.0
28,55.0,0.625,5.0
29,50.0,0.125,4.0
30,50.0,0.25,4.0
31,55.0,0.25,4.0
32,48.0,0.125,4.0
33,48.0,0.25,4.0
34,48.0,2.0,4.0
35,60.0,0.125,4.0
36,57.0,0.125,4.0
37,55.0,0.125,4.0
38,57.0,0.25,4.0
39,60.0,1.5,4.0
40,60.0,0.125,4.0
41,57.0,0.125,4.0
42,55.0,0.125,4.0
43,60.0,0.25,4.0
44,60.0,0.125,4.0
45,60.0,0.125,4.0
46,50.0,0.125,4.0
47,48.0,2.0,1.0
48,60.0,0.125,4.0
49,57.0,0.125,4.0
50,55.0,0.125,4.0
51,57.0,0.25,4.0
52,60.0,1.5,4.0
53,60.0,0.125,4.0
54,57.0,0.125,4.0
55,55.0,0.125,4.0
56,60.0,0.125,4.0
57,60.0,0.125,4.0
58,60.0,0.125,4.0
59,50.0,0.125,4.0
60,48.0,1.625,1.0
61,52.0,0.125,1.0
62,53.0,0.125,1.0
63,55.0,0.25,1.0
64,57.0,0.125,5.0
65,59.0,0.125,5.0
66,55.0,0.125,5.0
67,55.0,0.5,5.0
68,50.0,0.125,4.0
69,50.0,0.25,4.0
70,50.0,0.125,4.0
71,50.0,0.125,4.0
72,55.0,0.125,4.0
73,48.0,0.25,4.0
74,48.0,0.5,4.0
75,48.0,0.25,1.0
76,48.0,0.125,1.0
77,48.0,0.125,1.0
78,48.0,1.125,1.0
79,60.0,0.125,4.0
80,57.0,0.125,4.0
81,55.0,0.125,4.0
82,57.0,0.25,4.0
83,60.0,1.5,4.0
84,60.0,0.125,4.0
85,57.0,0.125,4.0
86,55.0,0.125,4.0
87,60.0,0.25,4.0
88,60.0,0.125,4.0
89,60.0,0.125,4.0
90,50.0,0.125,4.0
91,48.0,2.0,1.0
92,60.0,0.125,4.0
93,57.0,0.125,4.0
94,55.0,0.125,4.0
95,57.0,0.25,4.0
96,60.0,1.5,4.0
97,60.0,0.125,4.0
98,57.0,0.125,4.0
99,55.0,0.125,4.0
100,60.0,0.25,4.0
101,60.0,0.125,4.0
102,60.0,0.125,4.0
103,50.0,0.125,4.0
104,48.0,1.625,1.0
105,52.0,0.125,1.0
106,53.0,0.125,1.0
107,55.0,0.25,1.0
108,55.0,0.125,5.0
109,57.0,0.125,5.0
110,59.0,0.125,5.0
111,55.0,0.25,5.0
112,55.0,0.375,5.0
113,50.0,0.25,4.0
114,50.0,0.125,4.0
115,57.0,0.25,4.0
116,48.0,0.125,4.0
117,48.0,0.375,4.0
118,48.0,0.25,1.0
119,48.0,0.125,1.0
120,48.0,0.25,1.0
121,48.0,0.125,1.0
122,48.0,0.25,1.0
123,48.0,4.0,1.0
124,60.0,0.375,1.0
125,57.0,0.125,1.0
126,55.0,0.25,1.0
127,57.0,0.25,1.0
128,60.0,2.0,4.0
129,60.0,0.125,4.0
130,57.0,0.125,4.0
131,55.0,0.125,4.0
132,60.0,0.25,4.0
133,60.0,0.125,4.0
134,60.0,0.125,4.0
135,50.0,0.125,4.0
136,48.0,0.375,1.0
137,48.0,0.25,1.0
138,48.0,0.125,1.0
139,48.0,0.125,1.0
140,48.0,1.125,1.0
141,60.0,0.125,4.0
142,57.0,0.125,4.0
143,55.0,0.125,4.0
144,57.0,0.25,4.0
145,60.0,1.5,4.0
146,60.0,0.125,4.0
147,57.0,0.125,4.0
148,55.0,0.125,4.0
149,60.0,0.25,4.0
150,60.0,0.125,4.0
151,60.0,0.125,4.0
152,50.0,0.125,4.0
153,48.0,0.5,1.0
154,48.0,1.125,1.0
155,52.0,0.125,1.0
156,53.0,0.125,1.0
157,55.0,0.25,1.0
158,57.0,0.125,5.0
159,59.0,0.125,5.0
160,55.0,0.125,5.0
161,55.0,0.5,5.0
162,50.0,0.125,4.0
163,50.0,0.25,4.0
164,50.0,0.125,4.0
165,50.0,0.125,4.0
166,57.0,0.125,4.0
167,48.0,0.125,4.0
168,48.0,0.5,4.0
169,48.0,0.125,1.0
170,48.0,0.125,1.0
171,48.0,0.125,1.0
172,45.0,0.125,1.0
