,note,length,diatonic root
0,45.0,0.25,1.0
1,47.0,0.125,1.0
2,48.0,0.25,1.0
3,50.0,0.25,1.0
4,48.0,0.375,1.0
5,47.0,0.125,1.0
6,45.0,0.25,1.0
7,45.0,0.25,1.0
8,47.0,0.375,5.0
9,48.0,0.125,5.0
10,50.0,0.375,5.0
11,48.0,0.125,5.0
12,47.0,1.125,5.0
13,45.0,0.25,1.0
14,47.0,0.125,1.0
15,48.0,0.375,1.0
16,50.0,0.125,1.0
17,48.0,0.25,1.0
18,47.0,0.25,1.0
19,45.0,0.25,1.0
20,45.0,0.25,1.0
21,47.0,0.375,5.0
22,48.0,0.125,5.0
23,50.0,0.375,5.0
24,48.0,0.125,5.0
25,47.0,1.125,5.0
26,57.0,0.25,1.0
27,55.0,0.25,1.0
28,55.0,0.25,7.0
29,48.0,0.25,7.0
30,48.0,0.125,3.0
31,50.0,0.25,3.0
32,50.0,0.25,7.0
33,52.0,0.25,7.0
34,52.0,0.375,1.0
35,52.0,0.125,1.0
36,50.0,0.125,1.0
37,48.0,0.125,1.0
38,52.0,1.5,1.0
39,57.0,0.25,1.0
40,55.0,0.25,1.0
41,55.0,0.25,7.0
42,48.0,0.25,7.0
43,48.0,0.125,3.0
44,50.0,0.25,3.0
45,50.0,0.25,7.0
46,52.0,0.25,7.0
47,55.0,0.375,4.0
48,55.0,0.125,4.0
49,53.0,0.125,4.0
50,50.0,0.125,4.0
51,55.0,1.5,4.0
52,45.0,0.25,1.0
53,47.0,0.125,1.0
54,48.0,0.25,1.0
55,50.0,0.25,1.0
56,48.0,0.25,1.0
57,47.0,0.375,1.0
58,45.0,0.25,1.0
59,45.0,0.25,1.0
60,47.0,0.25,5.0
61,48.0,0.25,5.0
62,50.0,0.25,5.0
63,48.0,0.125,5.0
64,47.0,1.125,5.0
65,45.0,0.25,1.0
66,47.0,0.125,1.0
67,48.0,0.375,1.0
68,50.0,0.125,1.0
69,48.0,0.25,1.0
70,47.0,0.25,1.0
71,45.0,0.375,1.0
72,45.0,0.125,1.0
73,47.0,0.375,5.0
74,48.0,0.125,5.0
75,50.0,0.375,5.0
76,48.0,0.125,5.0
77,47.0,1.125,5.0
78,57.0,0.25,1.0
79,55.0,0.25,1.0
80,55.0,0.125,7.0
81,55.0,0.125,7.0
82,48.0,0.25,7.0
83,48.0,0.125,3.0
84,50.0,0.25,3.0
85,50.0,0.375,7.0
86,52.0,0.125,7.0
87,52.0,0.375,1.0
88,52.0,0.125,1.0
89,50.0,0.125,1.0
90,48.0,0.125,1.0
91,52.0,1.5,1.0
92,57.0,0.125,1.0
93,57.0,0.125,1.0
94,55.0,0.25,1.0
95,55.0,0.25,7.0
96,48.0,0.25,7.0
97,48.0,0.25,3.0
98,50.0,0.125,3.0
99,50.0,0.25,7.0
100,52.0,0.25,7.0
101,55.0,0.375,4.0
102,55.0,0.125,4.0
103,53.0,0.125,4.0
104,50.0,0.125,4.0
105,55.0,1.5,4.0
106,45.0,0.25,1.0
107,47.0,0.125,1.0
108,48.0,0.375,1.0
109,50.0,0.25,1.0
110,48.0,0.25,1.0
111,47.0,0.25,1.0
112,45.0,0.25,1.0
113,45.0,0.125,1.0
114,47.0,0.375,5.0
115,48.0,0.125,5.0
116,50.0,0.375,5.0
117,48.0,0.125,5.0
118,47.0,1.125,5.0
119,45.0,0.25,1.0
120,47.0,0.125,1.0
121,48.0,0.375,1.0
122,50.0,0.125,1.0
123,48.0,0.375,1.0
124,47.0,0.125,1.0
125,45.0,0.375,1.0
126,45.0,0.125,1.0
127,47.0,0.375,5.0
128,48.0,0.125,5.0
129,50.0,0.375,5.0
130,48.0,0.125,5.0
131,47.0,1.125,5.0
132,57.0,0.125,1.0
133,57.0,0.125,1.0
134,55.0,0.25,1.0
135,55.0,0.25,7.0
136,48.0,0.25,7.0
137,48.0,0.125,3.0
138,50.0,0.375,3.0
139,50.0,0.125,7.0
140,52.0,0.25,7.0
141,52.0,0.125,1.0
142,52.0,0.25,1.0
143,52.0,0.125,1.0
144,50.0,0.125,1.0
145,48.0,0.125,1.0
146,52.0,1.125,1.0
147,52.0,0.125,1.0
148,57.0,0.25,1.0
149,55.0,0.25,1.0
150,55.0,0.125,7.0
151,48.0,0.375,7.0
152,48.0,0.125,3.0
153,50.0,0.25,3.0
154,50.0,0.375,7.0
155,52.0,0.25,7.0
156,55.0,0.25,4.0
157,55.0,0.125,4.0
158,53.0,0.125,4.0
159,50.0,0.125,4.0
160,55.0,1.5,4.0
161,45.0,0.25,1.0
162,47.0,0.25,1.0
163,48.0,0.25,1.0
164,50.0,0.125,1.0
165,48.0,0.375,1.0
166,47.0,0.125,1.0
167,45.0,0.375,1.0
168,45.0,0.25,1.0
169,47.0,0.25,5.0
170,48.0,0.125,5.0
171,50.0,0.375,5.0
172,48.0,0.125,5.0
173,47.0,1.125,5.0
174,45.0,0.25,1.0
175,47.0,0.125,1.0
176,48.0,0.375,1.0
177,50.0,0.25,1.0
178,48.0,0.25,1.0
179,47.0,0.125,1.0
180,45.0,0.375,1.0
181,45.0,0.25,1.0
182,47.0,0.25,5.0
183,48.0,0.25,5.0
184,50.0,0.25,5.0
185,48.0,0.125,5.0
186,47.0,1.125,5.0
187,57.0,0.25,1.0
188,55.0,0.25,1.0
189,55.0,0.25,7.0
