,note,length,diatonic root
0,65.0,0.125,5.0
1,65.0,0.25,5.0
2,62.0,0.125,5.0
3,62.0,0.125,5.0
4,57.0,1.125,1.0
5,57.0,0.125,1.0
6,55.0,0.125,1.0
7,57.0,0.125,1.0
8,57.0,0.375,1.0
9,55.0,0.125,1.0
10,53.0,0.125,1.0
11,52.0,1.5,1.0
12,62.0,0.125,1.0
13,62.0,0.375,1.0
14,60.0,1.125,1.0
15,60.0,0.125,4.0
16,57.0,0.125,4.0
17,60.0,0.125,4.0
18,60.0,0.375,4.0
19,57.0,0.125,4.0
20,53.0,0.125,1.0
21,52.0,1.5,1.0
22,62.0,0.125,1.0
23,62.0,0.25,1.0
24,60.0,0.125,1.0
25,59.0,0.125,1.0
26,57.0,0.125,1.0
27,57.0,0.125,5.0
28,55.0,0.125,5.0
29,53.0,0.125,5.0
30,50.0,1.0,5.0
31,60.0,0.125,4.0
32,57.0,0.125,4.0
33,60.0,0.125,4.0
34,57.0,0.125,4.0
35,60.0,0.125,4.0
36,60.0,0.25,4.0
37,57.0,1.625,4.0
38,65.0,0.125,5.0
39,65.0,0.125,5.0
40,62.0,0.125,5.0
41,62.0,0.125,5.0
42,57.0,1.125,1.0
43,55.0,0.125,1.0
44,57.0,0.125,1.0
45,55.0,0.125,1.0
46,57.0,0.25,1.0
47,55.0,0.125,1.0
48,60.0,1.625,1.0
49,62.0,0.125,1.0
50,62.0,0.125,1.0
51,60.0,0.125,1.0
52,59.0,0.125,1.0
53,57.0,0.125,1.0
54,62.0,1.125,4.0
55,57.0,0.125,4.0
56,55.0,0.125,4.0
57,62.0,0.125,4.0
58,62.0,0.125,4.0
59,60.0,0.125,4.0
60,57.0,0.125,4.0
61,60.0,0.125,4.0
62,60.0,0.125,4.0
63,57.0,0.125,4.0
64,55.0,1.5,4.0
65,62.0,0.125,1.0
66,62.0,0.375,1.0
67,60.0,0.125,1.0
68,62.0,0.125,5.0
69,60.0,0.125,5.0
70,57.0,0.125,5.0
71,55.0,1.0,5.0
72,60.0,0.125,4.0
73,57.0,0.125,4.0
74,60.0,0.125,4.0
75,57.0,0.125,4.0
76,60.0,0.25,4.0
77,60.0,0.25,4.0
78,60.0,1.75,4.0
79,60.0,0.125,5.0
80,60.0,0.125,5.0
81,60.0,0.625,5.0
82,57.0,0.125,1.0
83,60.0,0.125,1.0
84,57.0,0.125,1.0
85,62.0,0.625,1.0
86,62.0,0.125,1.0
87,62.0,0.125,1.0
88,60.0,0.125,1.0
89,60.0,0.25,1.0
90,57.0,0.125,1.0
91,55.0,0.125,1.0
92,60.0,0.125,1.0
93,57.0,0.125,1.0
94,60.0,0.125,1.0
95,57.0,0.75,1.0
96,55.0,0.125,1.0
97,65.0,0.125,1.0
98,65.0,0.125,1.0
99,65.0,0.125,1.0
100,62.0,0.125,1.0
101,60.0,0.5,1.0
102,57.0,0.125,1.0
103,60.0,0.125,1.0
104,57.0,0.125,1.0
105,60.0,0.125,1.0
106,57.0,0.375,1.0
107,60.0,0.25,1.0
108,60.0,0.25,1.0
109,62.0,0.25,1.0
110,60.0,0.125,1.0
111,57.0,0.125,1.0
112,60.0,0.125,1.0
113,57.0,0.25,1.0
114,60.0,0.125,1.0
115,57.0,0.125,1.0
116,60.0,0.125,1.0
117,57.0,0.5,1.0
118,65.0,0.125,1.0
119,65.0,0.25,1.0
120,62.0,0.125,1.0
121,62.0,0.125,1.0
122,60.0,1.125,1.0
123,60.0,0.125,1.0
124,57.0,0.125,1.0
125,60.0,0.125,1.0
126,60.0,0.375,1.0
127,57.0,0.125,1.0
128,55.0,1.5,1.0
129,65.0,0.125,1.0
130,65.0,0.25,1.0
131,62.0,0.125,1.0
132,62.0,0.125,1.0
133,60.0,0.125,4.0
134,62.0,0.875,4.0
135,57.0,0.125,4.0
136,60.0,0.125,4.0
137,57.0,0.125,4.0
138,60.0,0.125,4.0
139,57.0,0.125,4.0
140,60.0,0.125,4.0
141,60.0,0.25,4.0
142,53.0,0.125,1.0
143,52.0,1.125,1.0
144,52.0,0.125,1.0
145,62.0,0.125,1.0
