,note,length,diatonic root
0,60.0,0.125,1.0
1,57.0,0.125,1.0
2,55.0,0.75,1.0
3,65.0,0.5,5.0
4,65.0,0.125,1.0
5,62.0,0.125,1.0
6,62.0,0.125,5.0
7,60.0,0.125,5.0
8,57.0,0.125,5.0
9,55.0,0.25,5.0
10,60.0,0.25,5.0
11,57.0,0.125,1.0
12,55.0,1.125,1.0
13,57.0,0.125,1.0
14,60.0,0.125,1.0
15,62.0,0.125,1.0
16,60.0,0.125,1.0
17,57.0,0.125,5.0
18,55.0,0.25,5.0
19,62.0,0.5,5.0
20,62.0,0.5,1.0
21,65.0,0.125,6.0
22,60.0,0.375,6.0
23,60.0,0.125,2.0
24,57.0,0.125,2.0
25,53.0,0.125,2.0
26,52.0,0.125,2.0
27,55.0,0.125,5.0
28,60.0,0.125,5.0
29,57.0,0.125,5.0
30,60.0,0.125,5.0
31,62.0,1.125,1.0
32,65.0,0.125,1.0
33,65.0,0.25,1.0
34,55.0,0.125,1.0
35,60.0,0.125,1.0
36,57.0,0.125,1.0
37,60.0,0.125,1.0
38,60.0,0.125,1.0
39,57.0,0.125,1.0
40,55.0,0.875,1.0
41,62.0,0.375,5.0
42,62.0,0.125,1.0
43,62.0,0.125,1.0
44,60.0,0.125,1.0
45,57.0,0.125,1.0
46,55.0,0.125,1.0
47,55.0,0.125,5.0
48,60.0,0.125,5.0
49,57.0,0.125,5.0
50,60.0,0.125,5.0
51,60.0,0.125,5.0
52,57.0,0.125,1.0
53,55.0,1.125,1.0
54,57.0,0.125,1.0
55,60.0,0.125,1.0
56,62.0,0.375,1.0
57,62.0,0.125,5.0
58,62.0,0.125,5.0
59,62.0,0.125,5.0
60,60.0,0.125,5.0
61,60.0,0.125,5.0
62,57.0,0.125,1.0
63,55.0,0.25,1.0
64,62.0,0.5,1.0
65,64.0,0.125,6.0
66,67.0,0.125,6.0
67,60.0,0.25,6.0
68,60.0,0.125,2.0
69,60.0,0.125,2.0
70,59.0,0.125,2.0
71,57.0,0.125,2.0
72,55.0,0.125,5.0
73,55.0,0.125,5.0
74,60.0,0.125,5.0
75,57.0,0.125,5.0
76,60.0,0.125,5.0
77,60.0,0.125,5.0
78,57.0,0.125,1.0
79,55.0,0.75,1.0
80,65.0,0.125,5.0
81,67.0,0.375,5.0
82,62.0,0.125,1.0
83,60.0,0.125,1.0
84,57.0,0.125,1.0
85,55.0,0.125,1.0
86,60.0,0.125,1.0
87,57.0,0.125,1.0
88,55.0,0.125,1.0
89,60.0,0.125,1.0
90,57.0,0.125,1.0
91,55.0,0.125,1.0
92,60.0,0.125,1.0
93,57.0,0.125,1.0
94,55.0,0.25,1.0
95,60.0,0.125,4.0
96,57.0,0.125,5.0
97,55.0,0.375,5.0
98,60.0,0.125,1.0
99,57.0,0.125,1.0
100,55.0,0.375,1.0
101,60.0,0.125,5.0
102,57.0,0.125,5.0
103,55.0,0.375,5.0
104,60.0,0.125,1.0
105,57.0,0.125,1.0
106,55.0,0.375,1.0
107,60.0,0.125,4.0
108,57.0,0.125,5.0
109,55.0,0.375,5.0
110,57.0,0.125,1.0
111,60.0,0.125,1.0
112,62.0,0.125,1.0
113,60.0,0.125,1.0
114,57.0,0.125,5.0
115,55.0,0.25,5.0
116,62.0,0.5,5.0
117,62.0,0.5,1.0
118,64.0,0.125,6.0
119,67.0,0.125,6.0
120,60.0,0.375,6.0
121,59.0,0.125,2.0
122,57.0,0.125,2.0
123,53.0,0.125,2.0
124,52.0,0.125,2.0
125,55.0,0.125,5.0
126,60.0,0.125,5.0
127,57.0,0.125,5.0
128,60.0,0.125,5.0
129,60.0,0.125,5.0
130,62.0,1.0,1.0
131,57.0,0.125,1.0
132,60.0,0.125,1.0
133,60.0,0.125,1.0
134,57.0,0.125,1.0
135,60.0,0.125,1.0
136,57.0,0.125,1.0
137,60.0,0.25,1.0
138,60.0,0.125,1.0
139,57.0,0.125,1.0
140,55.0,0.125,1.0
141,60.0,0.125,1.0
142,57.0,0.125,1.0
143,55.0,0.125,1.0
144,62.0,0.125,1.0
145,60.0,0.125,1.0
146,57.0,0.25,1.0
147,62.0,0.125,4.0
148,60.0,0.125,5.0
149,57.0,0.125,5.0
150,55.0,0.375,5.0
151,60.0,0.125,1.0
152,57.0,0.125,1.0
153,55.0,0.375,1.0
154,60.0,0.125,5.0
155,57.0,0.125,5.0
156,55.0,0.375,5.0
157,60.0,0.125,1.0
158,57.0,0.125,1.0
159,55.0,0.375,1.0
160,60.0,0.125,4.0
161,57.0,0.125,5.0
162,55.0,0.375,5.0
163,57.0,0.125,1.0
164,60.0,0.125,1.0
165,62.0,0.125,1.0
166,60.0,0.125,1.0
167,57.0,0.125,5.0
168,55.0,0.25,5.0
169,62.0,0.5,5.0
170,62.0,0.125,1.0
171,64.0,0.375,1.0
172,64.0,0.125,6.0
173,60.0,0.375,6.0
174,60.0,0.125,2.0
175,60.0,0.25,2.0
176,55.0,0.125,5.0
177,60.0,0.125,5.0
178,57.0,0.125,5.0
179,60.0,0.125,5.0
180,60.0,0.125,5.0
181,62.0,1.125,1.0
182,64.0,0.125,1.0
183,62.0,0.125,1.0
184,64.0,0.375,1.0
185,62.0,0.125,1.0
186,60.0,0.125,1.0
187,60.0,0.125,1.0
188,60.0,0.125,1.0
189,57.0,0.125,1.0
190,55.0,1.0,1.0
191,57.0,0.125,1.0
192,60.0,0.125,1.0
193,62.0,0.125,1.0
194,64.0,0.125,1.0
195,62.0,0.125,1.0
196,64.0,0.25,1.0
197,62.0,0.125,5.0
198,62.0,0.125,5.0
199,60.0,0.125,5.0
200,60.0,0.125,5.0
201,57.0,0.125,1.0
202,55.0,0.25,1.0
203,62.0,0.125,1.0
204,60.0,0.125,1.0
205,62.0,0.125,4.0
206,60.0,0.125,4.0
207,57.0,0.125,4.0
208,60.0,0.125,4.0
209,60.0,0.125,5.0
210,57.0,0.125,5.0
211,55.0,0.25,5.0
212,57.0,0.125,1.0
213,60.0,0.125,1.0
214,62.0,0.125,1.0
215,60.0,0.125,1.0
216,57.0,0.125,5.0
217,55.0,0.25,5.0
218,62.0,0.5,5.0
219,62.0,0.125,1.0
220,64.0,0.375,1.0
221,62.0,0.125,6.0
222,64.0,0.125,6.0
223,60.0,0.375,6.0
224,59.0,0.125,2.0
225,57.0,0.125,2.0
226,53.0,0.125,2.0
227,52.0,0.125,2.0
228,55.0,0.125,5.0
229,60.0,0.125,5.0
230,57.0,0.125,5.0
231,60.0,0.125,5.0
232,60.0,0.125,5.0
233,62.0,0.875,1.0
234,57.0,1.0,5.0
235,45.0,0.125,1.0
236,48.0,0.125,1.0
237,50.0,0.875,1.0
238,57.0,0.5,5.0
239,55.0,0.125,1.0
240,53.0,0.125,1.0
241,55.0,0.375,1.0
242,45.0,0.25,5.0
243,48.0,0.125,1.0
244,45.0,0.125,1.0
245,43.0,1.0,1.0
246,45.0,0.125,1.0
247,48.0,0.125,1.0
248,50.0,0.25,1.0
249,52.0,0.25,5.0
250,53.0,0.25,5.0
251,55.0,0.25,1.0
252,50.0,0.125,1.0
253,50.0,0.125,1.0
254,48.0,0.75,1.0
255,57.0,0.125,2.0
256,53.0,0.125,2.0
257,52.0,0.25,2.0
258,55.0,0.125,5.0
259,62.0,0.125,5.0
260,60.0,0.125,5.0
261,60.0,0.125,5.0
262,57.0,0.125,1.0
263,55.0,0.25,1.0
264,62.0,0.125,1.0
265,64.0,0.375,1.0
266,65.0,0.125,5.0
267,64.0,0.125,5.0
268,62.0,0.125,5.0
269,60.0,0.125,5.0
270,57.0,0.125,1.0
