,note,length,diatonic root
0,57.0,0.125,1.0
1,60.0,0.125,1.0
2,60.0,0.125,1.0
3,60.0,0.25,1.0
4,62.0,0.125,1.0
5,60.0,0.125,1.0
6,64.0,0.125,1.0
7,64.0,1.0,1.0
8,62.0,0.125,1.0
9,64.0,0.125,1.0
10,62.0,0.125,1.0
11,64.0,0.125,1.0
12,62.0,0.125,1.0
13,60.0,0.125,1.0
14,60.0,0.125,1.0
15,60.0,0.125,1.0
16,62.0,0.125,1.0
17,64.0,0.25,1.0
18,64.0,0.625,1.0
19,62.0,0.125,1.0
20,64.0,0.125,1.0
21,62.0,0.125,1.0
22,64.0,0.125,1.0
23,62.0,0.125,1.0
24,60.0,0.125,1.0
25,60.0,0.125,1.0
26,64.0,0.25,1.0
27,64.0,0.125,1.0
28,64.0,0.125,1.0
29,62.0,0.25,1.0
30,60.0,0.375,1.0
31,62.0,0.125,1.0
32,64.0,0.125,1.0
33,62.0,0.125,1.0
34,64.0,0.125,1.0
35,62.0,0.125,1.0
36,60.0,0.125,1.0
37,60.0,0.25,1.0
38,62.0,0.125,1.0
39,64.0,0.25,1.0
40,64.0,0.625,1.0
41,62.0,0.125,1.0
42,62.0,0.25,5.0
43,60.0,0.125,5.0
44,62.0,0.125,5.0
45,62.0,0.25,5.0
46,62.0,0.25,5.0
47,64.0,0.75,5.0
48,62.0,0.375,5.0
49,62.0,0.125,6.0
50,60.0,0.125,6.0
51,62.0,0.125,6.0
52,60.0,0.25,6.0
53,60.0,0.25,6.0
54,57.0,0.75,6.0
55,64.0,0.25,6.0
56,64.0,0.75,1.0
57,64.0,0.25,1.0
58,64.0,0.75,1.0
59,64.0,0.25,1.0
60,64.0,0.125,1.0
61,62.0,0.125,1.0
62,60.0,0.125,1.0
63,62.0,0.25,1.0
64,60.0,1.125,1.0
65,57.0,0.125,1.0
66,60.0,0.125,1.0
67,60.0,0.125,1.0
68,57.0,0.125,1.0
69,60.0,0.25,1.0
70,62.0,0.125,1.0
71,64.0,0.25,1.0
72,64.0,0.875,1.0
73,62.0,0.125,1.0
74,64.0,0.125,1.0
75,62.0,0.125,1.0
76,64.0,0.125,1.0
77,62.0,0.125,1.0
78,60.0,0.125,1.0
79,60.0,0.125,1.0
80,60.0,0.125,1.0
81,62.0,0.125,1.0
82,64.0,0.25,1.0
83,64.0,0.625,1.0
84,62.0,0.125,1.0
85,64.0,0.125,1.0
86,62.0,0.125,1.0
87,64.0,0.125,1.0
88,62.0,0.125,1.0
89,60.0,0.125,1.0
90,60.0,0.125,1.0
91,64.0,0.25,1.0
92,64.0,0.125,1.0
93,62.0,0.125,1.0
94,64.0,0.125,1.0
95,62.0,0.125,1.0
96,60.0,0.375,1.0
97,64.0,0.125,1.0
98,64.0,0.125,1.0
99,62.0,0.125,1.0
100,64.0,0.125,1.0
101,62.0,0.125,1.0
102,60.0,0.125,1.0
103,60.0,0.125,1.0
104,60.0,0.125,1.0
105,62.0,0.125,1.0
106,64.0,0.125,1.0
107,64.0,0.25,1.0
108,64.0,0.5,1.0
109,62.0,0.125,1.0
110,62.0,0.25,5.0
111,60.0,0.125,5.0
112,62.0,0.125,5.0
113,62.0,0.25,5.0
114,62.0,0.25,5.0
115,64.0,0.75,5.0
116,62.0,0.375,5.0
117,62.0,0.125,6.0
118,60.0,0.125,6.0
119,62.0,0.125,6.0
120,60.0,0.25,6.0
121,60.0,0.25,6.0
122,57.0,0.75,6.0
123,64.0,0.25,6.0
124,64.0,0.75,1.0
125,64.0,0.25,1.0
126,64.0,0.75,1.0
127,64.0,0.25,1.0
128,64.0,0.125,1.0
129,62.0,0.125,1.0
130,60.0,0.125,1.0
131,62.0,0.25,1.0
132,60.0,4.0,1.0
133,64.0,0.25,6.0
134,64.0,0.75,1.0
135,64.0,0.25,1.0
136,64.0,0.75,1.0
137,64.0,0.25,1.0
138,64.0,0.125,1.0
139,62.0,0.125,1.0
140,60.0,0.125,1.0
141,62.0,0.25,1.0
142,60.0,4.0,1.0
143,57.0,0.125,1.0
144,60.0,0.125,1.0
145,57.0,0.125,1.0
146,60.0,0.25,1.0
147,62.0,0.125,1.0
148,60.0,0.125,1.0
149,64.0,0.25,1.0
150,64.0,0.875,1.0
151,62.0,0.125,1.0
152,64.0,0.125,1.0
153,62.0,0.125,1.0
154,64.0,0.125,1.0
155,62.0,0.125,1.0
156,60.0,0.125,1.0
157,60.0,0.125,1.0
158,62.0,0.25,1.0
159,64.0,0.125,1.0
160,64.0,0.125,1.0
161,64.0,0.625,1.0
162,64.0,0.125,1.0
163,64.0,0.125,1.0
164,62.0,0.125,1.0
165,64.0,0.125,1.0
166,62.0,0.125,1.0
167,60.0,0.25,1.0
168,64.0,0.25,1.0
169,64.0,0.125,1.0
170,62.0,0.125,1.0
171,64.0,0.125,1.0
172,62.0,0.125,1.0
173,60.0,0.375,1.0
174,62.0,0.125,1.0
175,64.0,0.125,1.0
176,62.0,0.125,1.0
177,64.0,0.125,1.0
178,62.0,0.125,1.0
179,60.0,0.125,1.0
180,60.0,0.125,1.0
181,62.0,0.25,1.0
182,64.0,0.125,1.0
183,64.0,0.125,1.0
184,64.0,0.625,1.0
185,62.0,0.125,1.0
186,62.0,0.25,5.0
187,60.0,0.125,5.0
188,62.0,0.125,5.0
189,62.0,0.25,5.0
190,62.0,0.25,5.0
191,64.0,0.75,5.0
192,62.0,0.375,5.0
193,62.0,0.125,6.0
194,60.0,0.125,6.0
195,62.0,0.125,6.0
196,60.0,0.25,6.0
197,60.0,0.25,6.0
198,57.0,0.75,6.0
199,64.0,0.25,6.0
200,64.0,0.75,1.0
201,64.0,0.25,1.0
202,64.0,0.75,1.0
203,64.0,0.25,1.0
204,64.0,0.125,1.0
205,62.0,0.125,1.0
206,60.0,0.125,1.0
207,62.0,0.25,1.0
208,60.0,1.125,1.0
209,64.0,0.25,1.0
210,64.0,0.75,1.0
211,64.0,0.25,1.0
212,64.0,0.75,1.0
213,64.0,0.25,1.0
214,64.0,0.125,1.0
215,62.0,0.125,1.0
216,60.0,0.125,1.0
217,62.0,0.25,1.0
218,60.0,1.125,1.0
219,64.0,0.25,1.0
220,64.0,0.75,1.0
221,64.0,0.25,1.0
222,64.0,0.75,1.0
223,64.0,0.25,1.0
224,64.0,0.125,1.0
225,62.0,0.125,1.0
226,60.0,0.125,1.0
227,62.0,0.25,1.0
