,note,length,diatonic root
0,67.0,0.125,1.0
1,67.0,0.25,1.0
2,67.0,0.25,1.0
3,67.0,0.125,1.0
4,69.0,0.125,1.0
5,67.0,0.125,1.0
6,64.0,0.25,1.0
7,64.0,0.125,1.0
8,64.0,0.625,1.0
9,67.0,0.25,1.0
10,67.0,0.125,1.0
11,67.0,0.25,1.0
12,67.0,0.125,1.0
13,69.0,0.125,1.0
14,67.0,0.125,1.0
15,64.0,0.25,1.0
16,64.0,0.125,1.0
17,67.0,0.25,1.0
18,65.0,0.125,1.0
19,64.0,0.375,1.0
20,65.0,0.125,4.0
21,65.0,0.25,4.0
22,65.0,0.25,4.0
23,65.0,0.125,4.0
24,60.0,0.125,4.0
25,65.0,0.25,4.0
26,65.0,0.125,4.0
27,67.0,0.25,4.0
28,65.0,0.125,4.0
29,65.0,0.125,4.0
30,65.0,0.375,4.0
31,64.0,0.25,1.0
32,64.0,0.25,1.0
33,64.0,0.25,1.0
34,64.0,0.25,1.0
35,67.0,0.125,1.0
36,64.0,0.25,1.0
37,62.0,0.125,1.0
38,60.0,0.25,1.0
39,62.0,0.25,1.0
40,62.0,0.75,5.0
41,62.0,0.125,5.0
42,64.0,0.25,5.0
43,62.0,0.25,5.0
44,62.0,0.125,5.0
45,60.0,0.125,5.0
46,59.0,0.125,5.0
47,60.0,0.25,5.0
48,60.0,1.625,1.0
49,67.0,0.125,5.0
50,67.0,0.25,5.0
51,67.0,0.125,1.0
52,67.0,0.25,1.0
53,67.0,0.125,1.0
54,69.0,0.25,1.0
55,64.0,0.25,1.0
56,64.0,0.125,1.0
57,64.0,0.5,1.0
58,67.0,0.125,1.0
59,67.0,0.25,1.0
60,67.0,0.125,1.0
61,67.0,0.25,1.0
62,67.0,0.125,1.0
63,69.0,0.25,1.0
64,64.0,0.25,1.0
65,64.0,0.125,1.0
66,67.0,0.25,1.0
67,65.0,0.125,1.0
68,64.0,0.5,1.0
69,65.0,0.25,4.0
70,65.0,0.25,4.0
71,65.0,0.125,4.0
72,60.0,0.25,4.0
73,65.0,0.25,4.0
74,65.0,0.125,4.0
75,67.0,0.125,4.0
