,note,length,diatonic root
0,74.0,0.25,5.0
1,72.0,0.125,5.0
2,69.0,0.625,5.0
3,72.0,0.125,4.0
4,72.0,0.125,4.0
5,72.0,0.125,4.0
6,69.0,0.75,4.0
7,74.0,0.25,5.0
8,74.0,0.125,5.0
9,72.0,0.125,5.0
10,74.0,0.5,5.0
11,69.0,0.125,4.0
12,69.0,0.125,4.0
13,72.0,0.125,4.0
14,72.0,0.125,4.0
15,69.0,0.125,4.0
16,72.0,0.625,4.0
17,74.0,0.125,5.0
18,74.0,0.125,5.0
19,72.0,0.125,5.0
20,69.0,0.625,5.0
21,69.0,0.25,4.0
22,69.0,0.125,4.0
23,69.0,0.125,4.0
24,71.0,0.125,4.0
25,72.0,0.125,4.0
26,69.0,0.125,1.0
27,67.0,0.125,1.0
28,72.0,0.125,1.0
29,67.0,0.375,1.0
30,72.0,0.125,1.0
31,67.0,0.125,1.0
32,69.0,0.125,1.0
33,72.0,0.375,4.0
34,72.0,0.125,4.0
35,69.0,0.125,4.0
36,72.0,0.125,4.0
37,69.0,1.0,4.0
38,72.0,0.125,1.0
39,69.0,1.5,1.0
40,74.0,0.125,5.0
41,74.0,0.125,5.0
42,72.0,0.125,5.0
43,74.0,0.125,5.0
44,72.0,0.125,5.0
45,74.0,0.625,5.0
46,72.0,0.125,4.0
47,72.0,0.125,4.0
48,69.0,0.875,4.0
49,74.0,0.125,5.0
50,74.0,0.125,5.0
51,72.0,0.125,5.0
52,69.0,0.125,5.0
53,72.0,0.125,5.0
54,74.0,0.375,5.0
55,69.0,0.125,4.0
56,72.0,0.125,4.0
57,72.0,0.125,4.0
58,69.0,0.125,4.0
59,72.0,0.75,4.0
60,74.0,0.25,5.0
61,74.0,0.125,5.0
62,72.0,0.125,5.0
63,69.0,0.5,5.0
64,69.0,0.25,4.0
65,72.0,0.125,4.0
66,72.0,0.125,4.0
67,72.0,0.125,4.0
68,76.0,0.125,4.0
69,72.0,0.125,1.0
70,72.0,0.125,1.0
71,72.0,0.125,1.0
72,72.0,0.625,1.0
73,74.0,0.125,1.0
74,72.0,0.5,4.0
75,74.0,0.125,4.0
76,72.0,0.125,4.0
77,72.0,0.125,4.0
78,69.0,0.75,4.0
79,72.0,0.125,1.0
80,69.0,1.5,1.0
81,71.0,0.25,5.0
82,71.0,0.125,5.0
83,69.0,0.125,5.0
84,71.0,0.125,5.0
85,71.0,0.625,5.0
86,72.0,0.25,4.0
87,72.0,0.125,4.0
88,69.0,0.125,4.0
89,69.0,0.625,4.0
90,72.0,0.125,5.0
91,74.0,0.125,5.0
92,74.0,0.125,5.0
93,74.0,0.125,5.0
94,72.0,0.375,5.0
95,69.0,0.125,4.0
96,69.0,0.125,4.0
97,72.0,0.125,4.0
98,69.0,0.125,4.0
99,72.0,0.875,4.0
100,69.0,0.125,5.0
101,74.0,0.25,5.0
102,72.0,0.125,5.0
103,74.0,0.375,5.0
104,69.0,0.125,4.0
105,74.0,0.25,4.0
106,72.0,0.25,4.0
107,72.0,0.125,4.0
108,69.0,0.125,4.0
109,72.0,0.125,4.0
110,72.0,0.75,4.0
111,72.0,0.125,1.0
112,67.0,0.125,1.0
113,69.0,0.125,1.0
114,72.0,0.375,4.0
115,74.0,0.25,4.0
116,72.0,0.125,4.0
117,72.0,0.25,4.0
118,69.0,0.625,4.0
119,72.0,0.125,1.0
120,69.0,4.0,1.0
121,71.0,0.625,5.0
122,71.0,0.125,5.0
123,71.0,0.125,5.0
124,71.0,0.625,5.0
125,72.0,0.125,4.0
126,72.0,0.125,4.0
127,72.0,0.125,4.0
128,69.0,0.125,4.0
129,60.0,0.875,4.0
130,62.0,0.125,5.0
131,72.0,0.125,5.0
132,74.0,0.125,5.0
133,72.0,0.125,5.0
134,74.0,0.375,5.0
135,72.0,0.125,4.0
136,72.0,0.25,4.0
137,72.0,0.125,4.0
138,69.0,0.125,4.0
139,60.0,0.75,4.0
140,74.0,0.25,5.0
141,74.0,0.125,5.0
142,72.0,0.125,5.0
143,67.0,0.125,5.0
144,67.0,0.125,5.0
145,79.0,0.25,5.0
146,76.0,0.125,4.0
147,72.0,0.375,4.0
148,74.0,0.125,4.0
149,76.0,0.125,4.0
150,72.0,0.125,4.0
151,72.0,0.125,4.0
152,72.0,0.125,4.0
153,69.0,0.125,1.0
154,72.0,0.125,1.0
155,67.0,0.5,1.0
156,72.0,0.125,1.0
157,67.0,0.125,1.0
158,69.0,0.125,1.0
159,72.0,0.375,4.0
160,74.0,0.125,4.0
161,72.0,0.125,4.0
162,72.0,0.125,4.0
163,69.0,0.375,4.0
164,72.0,0.125,1.0
165,72.0,0.125,1.0
166,72.0,0.125,1.0
167,67.0,0.375,1.0
168,72.0,0.125,1.0
169,69.0,1.0,1.0
170,69.0,0.125,4.0
171,69.0,0.125,1.0
172,69.0,0.125,1.0
173,69.0,0.125,1.0
174,72.0,0.125,1.0
175,72.0,0.25,1.0
176,69.0,0.25,1.0
177,69.0,0.125,1.0
178,69.0,0.125,4.0
179,69.0,0.125,4.0
180,69.0,0.125,4.0
181,72.0,0.125,4.0
182,72.0,0.125,4.0
183,69.0,0.25,4.0
184,67.0,0.125,4.0
185,69.0,0.125,1.0
186,72.0,0.125,1.0
