,note,length,diatonic root
0,43.0,0.625,1.0
1,43.0,0.125,1.0
2,43.0,0.125,1.0
3,45.0,0.125,1.0
4,43.0,0.125,4.0
5,41.0,0.125,4.0
6,43.0,1.875,4.0
7,40.0,0.125,1.0
8,40.0,0.125,1.0
9,40.0,0.625,1.0
10,40.0,0.125,1.0
11,41.0,0.125,1.0
12,40.0,0.125,5.0
13,38.0,0.125,5.0
14,40.0,2.0,5.0
15,43.0,0.625,1.0
16,43.0,0.125,1.0
17,45.0,0.125,1.0
18,43.0,0.125,4.0
19,41.0,0.125,4.0
20,43.0,2.0,4.0
21,40.0,0.125,1.0
22,40.0,0.125,1.0
23,40.0,0.25,1.0
24,40.0,0.125,1.0
25,36.0,0.125,1.0
26,38.0,0.125,5.0
27,35.0,0.125,5.0
28,36.0,1.0,5.0
29,43.0,0.25,1.0
30,47.0,0.25,5.0
31,50.0,0.25,5.0
32,50.0,0.125,5.0
33,50.0,0.125,5.0
34,48.0,0.125,5.0
35,48.0,0.25,4.0
36,48.0,0.125,4.0
37,48.0,0.25,4.0
38,45.0,0.125,4.0
39,43.0,0.25,1.0
40,43.0,0.125,1.0
41,43.0,0.125,1.0
42,43.0,0.25,1.0
43,47.0,0.25,5.0
44,50.0,0.25,5.0
45,48.0,0.125,5.0
46,48.0,0.125,5.0
47,48.0,0.25,5.0
48,48.0,0.25,4.0
49,45.0,0.125,4.0
50,43.0,0.25,1.0
51,40.0,0.125,1.0
52,38.0,0.125,1.0
53,36.0,0.5,1.0
54,40.0,0.5,1.0
55,43.0,0.625,1.0
56,40.0,0.125,1.0
57,41.0,0.125,1.0
58,38.0,0.125,5.0
59,40.0,0.125,5.0
60,43.0,0.5,1.0
61,36.0,0.125,1.0
62,38.0,0.125,1.0
63,35.0,0.125,5.0
64,36.0,4.0,5.0
65,43.0,0.25,1.0
66,47.0,0.25,5.0
67,50.0,0.25,5.0
68,50.0,0.125,5.0
69,50.0,0.125,5.0
70,48.0,0.125,5.0
71,48.0,0.25,4.0
72,48.0,0.125,4.0
73,48.0,0.25,4.0
74,45.0,0.125,4.0
75,43.0,0.25,1.0
76,43.0,0.125,1.0
77,43.0,0.125,1.0
78,43.0,0.25,1.0
79,47.0,0.25,5.0
80,50.0,0.25,5.0
81,48.0,0.125,5.0
82,48.0,0.125,5.0
83,48.0,0.25,5.0
84,48.0,0.25,4.0
85,45.0,0.125,4.0
86,43.0,0.25,1.0
87,40.0,0.125,1.0
88,38.0,0.125,1.0
89,36.0,0.5,1.0
90,40.0,0.5,1.0
91,43.0,0.625,1.0
92,40.0,0.125,1.0
93,41.0,0.125,1.0
94,38.0,0.125,5.0
95,40.0,0.125,5.0
96,43.0,0.5,1.0
97,36.0,0.125,1.0
98,38.0,0.125,1.0
99,35.0,0.125,5.0
100,36.0,0.875,5.0
101,43.0,0.125,1.0
102,43.0,0.625,1.0
103,43.0,0.125,1.0
104,45.0,0.125,1.0
105,41.0,0.25,4.0
106,43.0,1.875,4.0
107,40.0,0.125,1.0
108,40.0,0.625,1.0
109,40.0,0.125,1.0
110,38.0,0.125,1.0
111,35.0,0.125,5.0
112,36.0,2.0,5.0
113,43.0,0.125,1.0
114,43.0,0.25,1.0
115,43.0,0.125,1.0
116,43.0,0.125,1.0
117,45.0,0.125,1.0
118,41.0,0.125,4.0
119,43.0,2.25,4.0
120,40.0,0.625,1.0
121,40.0,0.125,1.0
122,40.0,0.125,1.0
123,41.0,0.125,1.0
124,38.0,0.125,5.0
125,40.0,1.0,5.0
126,43.0,0.25,1.0
127,47.0,0.25,5.0
128,50.0,0.25,5.0
129,50.0,0.125,5.0
130,50.0,0.125,5.0
