,note,length,diatonic root
0,62.0,0.125,1.0
1,62.0,0.125,1.0
2,62.0,0.125,1.0
3,62.0,0.125,1.0
4,62.0,0.125,1.0
5,62.0,0.125,1.0
6,62.0,0.125,1.0
7,62.0,0.125,1.0
8,60.0,0.125,1.0
9,60.0,0.125,1.0
10,60.0,0.125,1.0
11,62.0,0.125,1.0
12,60.0,0.125,4.0
13,60.0,0.125,4.0
14,57.0,0.125,4.0
15,60.0,0.125,4.0
16,60.0,0.125,4.0
17,60.0,0.125,4.0
18,64.0,1.75,4.0
19,62.0,0.125,1.0
20,62.0,0.125,1.0
21,62.0,0.125,1.0
22,62.0,0.125,1.0
23,62.0,0.125,4.0
24,62.0,0.125,4.0
25,62.0,0.125,4.0
26,62.0,0.125,4.0
27,60.0,0.125,4.0
28,60.0,0.125,4.0
29,62.0,0.125,4.0
30,62.0,0.125,4.0
31,60.0,0.375,4.0
32,62.0,0.125,4.0
33,60.0,0.125,4.0
34,60.0,0.125,4.0
35,57.0,1.875,4.0
36,62.0,0.125,1.0
37,62.0,0.25,1.0
38,62.0,0.125,5.0
39,62.0,0.125,5.0
40,60.0,0.25,5.0
41,57.0,0.25,5.0
42,55.0,0.125,5.0
43,57.0,0.125,5.0
44,57.0,0.125,4.0
45,60.0,0.125,4.0
46,60.0,0.125,4.0
47,60.0,0.125,4.0
48,62.0,0.25,4.0
49,57.0,0.125,4.0
50,57.0,1.75,4.0
51,55.0,0.125,1.0
52,57.0,0.125,1.0
53,57.0,0.125,1.0
54,60.0,0.125,1.0
55,60.0,0.125,1.0
56,62.0,0.125,1.0
57,62.0,0.25,1.0
58,62.0,0.125,1.0
59,60.0,0.125,1.0
60,60.0,0.125,1.0
61,62.0,0.25,1.0
62,62.0,0.25,4.0
63,62.0,0.125,4.0
64,60.0,0.125,4.0
65,60.0,0.125,4.0
66,62.0,2.0,4.0
67,55.0,0.125,1.0
68,62.0,0.25,1.0
69,62.0,0.125,4.0
70,62.0,0.125,4.0
71,62.0,0.125,4.0
72,60.0,0.125,4.0
73,60.0,0.125,4.0
74,60.0,0.125,4.0
75,62.0,0.25,4.0
76,62.0,0.125,4.0
77,60.0,0.125,4.0
78,62.0,0.125,4.0
79,60.0,0.125,4.0
80,60.0,0.125,4.0
81,57.0,0.125,4.0
82,55.0,1.75,4.0
83,62.0,0.125,1.0
84,62.0,0.25,1.0
85,62.0,0.125,5.0
86,62.0,0.125,5.0
87,60.0,0.25,5.0
88,57.0,0.125,5.0
89,55.0,0.25,5.0
