,note,length,diatonic root
0,60.0,0.125,1.0
1,57.0,0.125,1.0
2,60.0,0.25,1.0
3,60.0,0.125,1.0
4,57.0,0.375,1.0
5,62.0,0.125,6.0
6,62.0,0.125,6.0
7,62.0,0.125,6.0
8,60.0,0.25,6.0
9,60.0,0.125,6.0
10,57.0,0.375,6.0
11,62.0,0.125,1.0
12,62.0,0.125,1.0
13,62.0,0.125,1.0
14,60.0,0.25,1.0
15,60.0,0.125,1.0
16,57.0,0.375,1.0
17,62.0,0.125,6.0
18,62.0,0.125,6.0
19,60.0,0.125,6.0
20,62.0,0.375,6.0
21,64.0,0.125,6.0
22,62.0,0.125,1.0
23,60.0,0.125,1.0
24,57.0,0.125,1.0
25,60.0,0.125,1.0
26,60.0,0.25,1.0
27,57.0,0.25,1.0
28,55.0,0.125,6.0
29,52.0,0.75,6.0
30,64.0,0.125,6.0
31,62.0,0.125,1.0
32,60.0,0.125,1.0
33,57.0,0.125,1.0
34,60.0,0.25,1.0
35,64.0,0.25,1.0
36,62.0,0.125,1.0
37,60.0,0.375,6.0
38,64.0,0.125,6.0
39,62.0,0.125,6.0
40,60.0,0.25,6.0
41,64.0,1.5,6.0
42,64.0,0.125,6.0
43,62.0,0.125,6.0
44,62.0,0.125,6.0
45,60.0,0.25,6.0
46,62.0,0.25,6.0
47,64.0,1.125,1.0
48,60.0,0.125,6.0
49,60.0,0.375,6.0
50,60.0,0.125,6.0
51,60.0,1.5,6.0
52,62.0,0.125,6.0
53,60.0,0.125,6.0
54,57.0,0.125,6.0
55,60.0,0.125,6.0
56,60.0,0.125,6.0
57,72.0,1.5,6.0
58,64.0,0.125,6.0
59,62.0,0.125,6.0
60,60.0,0.125,6.0
61,60.0,0.125,6.0
62,57.0,0.125,6.0
63,55.0,0.375,6.0
64,64.0,0.125,1.0
65,64.0,0.125,1.0
66,62.0,0.125,1.0
67,60.0,0.25,1.0
68,62.0,0.375,1.0
69,64.0,0.125,6.0
70,64.0,0.125,6.0
71,62.0,0.125,6.0
72,64.0,0.125,6.0
73,62.0,0.125,6.0
74,60.0,0.125,6.0
75,60.0,0.125,6.0
76,62.0,0.375,6.0
77,64.0,0.125,1.0
78,64.0,0.125,1.0
79,62.0,0.125,1.0
80,60.0,0.25,1.0
81,62.0,0.375,1.0
82,64.0,0.125,6.0
83,64.0,0.125,6.0
84,62.0,0.125,6.0
85,64.0,0.125,6.0
86,62.0,0.125,6.0
87,60.0,0.125,6.0
88,60.0,0.375,6.0
89,62.0,0.125,1.0
90,62.0,0.125,1.0
91,60.0,0.125,1.0
92,60.0,0.125,1.0
93,62.0,0.5,1.0
94,62.0,0.125,6.0
95,62.0,0.125,6.0
96,60.0,0.125,6.0
97,60.0,0.125,6.0
98,62.0,0.5,6.0
99,62.0,0.125,1.0
100,62.0,0.125,1.0
101,60.0,0.125,1.0
102,60.0,0.125,1.0
103,62.0,0.625,1.0
104,55.0,0.125,6.0
105,60.0,0.25,6.0
106,60.0,0.25,6.0
107,60.0,0.125,6.0
108,55.0,0.625,1.0
109,57.0,0.125,1.0
110,55.0,0.125,1.0
111,60.0,0.125,1.0
112,57.0,0.125,1.0
113,60.0,0.25,1.0
114,60.0,0.25,1.0
115,60.0,0.125,1.0
116,57.0,0.125,1.0
117,55.0,0.125,6.0
118,52.0,0.5,6.0
119,64.0,0.25,6.0
120,62.0,0.125,6.0
121,60.0,0.5,6.0
122,60.0,0.125,6.0
123,60.0,0.125,6.0
124,57.0,0.125,6.0
125,60.0,0.25,6.0
126,57.0,0.125,1.0
127,60.0,0.5,1.0
128,57.0,0.125,1.0
129,55.0,0.125,1.0
130,60.0,0.125,1.0
131,57.0,0.375,1.0
132,60.0,0.25,1.0
133,57.0,0.25,1.0
134,57.0,0.125,1.0
135,60.0,0.75,6.0
136,60.0,0.5,6.0
137,62.0,0.125,6.0
138,62.0,0.125,6.0
139,60.0,0.25,6.0
140,60.0,0.125,6.0
141,57.0,0.125,6.0
142,60.0,0.375,6.0
143,60.0,0.625,1.0
144,57.0,0.125,1.0
145,60.0,0.375,1.0
146,57.0,0.125,1.0
147,60.0,0.25,1.0
148,60.0,0.125,1.0
149,62.0,0.75,1.0
150,62.0,0.375,6.0
151,62.0,0.125,6.0
152,62.0,0.125,6.0
153,60.0,0.25,6.0
154,57.0,0.125,6.0
155,60.0,0.125,6.0
156,60.0,0.125,6.0
157,57.0,0.125,6.0
158,60.0,0.25,6.0
159,55.0,0.75,1.0
160,55.0,0.125,1.0
161,60.0,0.125,1.0
162,57.0,0.375,1.0
163,60.0,0.25,1.0
164,57.0,0.125,1.0
165,57.0,0.125,1.0
166,60.0,1.5,1.0
167,57.0,0.125,6.0
168,60.0,0.25,6.0
169,60.0,0.125,6.0
170,57.0,0.125,6.0
171,60.0,1.125,6.0
172,60.0,0.125,1.0
173,60.0,0.125,1.0
174,60.0,0.125,1.0
175,64.0,0.125,1.0
176,65.0,0.125,1.0
177,67.0,0.125,1.0
178,64.0,0.125,1.0
179,60.0,0.125,1.0
180,60.0,0.625,1.0
181,60.0,0.375,1.0
182,60.0,0.125,1.0
183,62.0,0.125,1.0
184,62.0,0.125,1.0
185,62.0,0.125,1.0
186,60.0,0.375,1.0
187,60.0,0.125,1.0
188,57.0,0.125,1.0
189,60.0,0.375,1.0
190,60.0,0.125,1.0
191,57.0,0.125,1.0
192,55.0,0.375,1.0
193,60.0,0.125,1.0
194,57.0,0.125,1.0
195,60.0,0.125,1.0
196,57.0,0.125,1.0
197,60.0,0.25,1.0
198,60.0,0.125,1.0
199,57.0,0.125,1.0
200,60.0,0.375,1.0
201,60.0,0.5,1.0
202,60.0,0.375,1.0
203,55.0,0.125,1.0
204,55.0,0.125,1.0
205,57.0,0.125,1.0
206,60.0,0.125,1.0
207,62.0,0.25,1.0
208,62.0,0.125,1.0
209,62.0,0.125,1.0
210,60.0,0.25,1.0
211,62.0,0.375,1.0
212,60.0,0.125,1.0
213,57.0,0.125,1.0
214,60.0,0.375,1.0
215,60.0,0.25,1.0
216,60.0,0.125,1.0
217,57.0,0.125,1.0
218,60.0,0.5,1.0
219,60.0,0.5,1.0
220,60.0,0.25,1.0
221,57.0,0.125,1.0
222,60.0,0.125,1.0
223,57.0,0.125,1.0
224,60.0,0.125,1.0
225,60.0,0.125,1.0
226,60.0,0.125,1.0
227,64.0,0.125,1.0
228,60.0,0.375,1.0
229,57.0,0.125,1.0
230,55.0,0.375,1.0
231,60.0,0.25,1.0
232,57.0,0.125,1.0
233,60.0,0.125,1.0
234,60.0,0.125,1.0
235,62.0,0.125,1.0
236,65.0,0.125,1.0
237,67.0,0.125,1.0
238,62.0,0.125,1.0
239,60.0,0.125,1.0
240,60.0,0.25,1.0
241,60.0,0.5,1.0
242,60.0,0.25,1.0
243,55.0,0.125,1.0
244,57.0,0.125,1.0
245,55.0,0.125,1.0
246,60.0,0.125,1.0
247,57.0,0.125,1.0
248,60.0,0.125,1.0
249,57.0,0.125,1.0
250,60.0,0.375,1.0
251,62.0,0.375,1.0
252,62.0,0.375,1.0
253,62.0,0.375,6.0
254,60.0,0.25,6.0
255,60.0,0.5,6.0
256,62.0,0.375,1.0
257,62.0,0.125,1.0
258,60.0,0.125,1.0
259,62.0,0.25,1.0
260,62.0,0.25,6.0
261,62.0,0.125,6.0
262,62.0,0.125,6.0
263,62.0,0.125,6.0
264,60.0,0.125,6.0
265,60.0,0.125,6.0
266,57.0,0.125,6.0
267,55.0,0.375,6.0
268,62.0,0.125,1.0
269,62.0,0.125,1.0
270,60.0,0.125,1.0
271,60.0,0.25,1.0
272,57.0,0.375,1.0
273,62.0,0.125,6.0
274,62.0,0.125,6.0
275,60.0,0.125,6.0
276,60.0,0.125,6.0
277,57.0,0.125,6.0
278,55.0,0.375,6.0
279,62.0,0.375,1.0
280,62.0,0.125,1.0
281,60.0,0.5,1.0
282,60.0,0.125,6.0
283,55.0,0.25,6.0
284,60.0,0.125,6.0
285,55.0,0.125,6.0
286,60.0,0.375,6.0
287,60.0,0.125,1.0
288,55.0,0.25,1.0
289,60.0,0.125,1.0
290,55.0,0.125,1.0
291,60.0,0.375,1.0
292,60.0,0.125,6.0
293,55.0,0.25,6.0
294,60.0,0.125,6.0
295,55.0,0.125,6.0
296,60.0,0.375,6.0
297,62.0,0.25,1.0
298,62.0,0.125,1.0
299,62.0,0.125,1.0
300,62.0,0.125,1.0
301,60.0,0.125,1.0
302,60.0,0.125,1.0
303,62.0,0.375,1.0
304,62.0,0.125,6.0
305,62.0,0.125,6.0
306,62.0,0.125,6.0
307,62.0,0.125,6.0
308,62.0,0.125,6.0
309,60.0,0.125,6.0
310,60.0,0.125,6.0
311,62.0,0.375,6.0
312,62.0,0.25,1.0
313,62.0,0.125,1.0
314,62.0,0.125,1.0
315,62.0,0.125,1.0
316,60.0,0.125,1.0
317,60.0,0.125,1.0
318,62.0,0.375,1.0
319,62.0,0.25,6.0
320,62.0,0.125,6.0
321,62.0,0.125,6.0
322,62.0,0.125,6.0
323,60.0,0.125,6.0
324,60.0,0.125,6.0
325,62.0,0.25,6.0
326,55.0,0.125,1.0
327,62.0,0.125,1.0
328,62.0,0.125,1.0
329,62.0,0.125,1.0
330,62.0,0.125,1.0
331,60.0,0.125,1.0
332,57.0,0.125,1.0
333,55.0,0.125,1.0
334,57.0,0.125,1.0
335,60.0,0.125,1.0
336,57.0,0.125,1.0
337,60.0,0.125,1.0
338,64.0,0.125,1.0
339,62.0,0.125,1.0
340,64.0,0.125,1.0
341,62.0,0.125,1.0
342,64.0,0.125,1.0
343,62.0,0.125,1.0
344,64.0,0.125,1.0
345,62.0,0.125,1.0
346,64.0,0.125,4.0
347,62.0,0.125,4.0
348,64.0,0.125,4.0
349,62.0,0.125,4.0
350,60.0,0.125,4.0
351,57.0,0.125,4.0
352,55.0,0.125,4.0
353,55.0,0.125,4.0
354,57.0,0.125,4.0
355,60.0,0.125,4.0
356,60.0,0.125,1.0
357,60.0,0.125,1.0
358,60.0,0.125,1.0
359,60.0,0.125,1.0
