,note,length,diatonic root
0,45.0,0.125,6.0
1,47.0,0.125,6.0
2,48.0,0.25,6.0
3,47.0,0.125,1.0
4,45.0,0.125,1.0
5,47.0,0.5,1.0
6,48.0,0.125,5.0
7,50.0,0.125,5.0
8,48.0,0.125,1.0
9,48.0,0.125,1.0
10,50.0,0.125,1.0
11,48.0,0.125,1.0
12,47.0,0.125,1.0
13,48.0,0.25,4.0
14,50.0,0.125,4.0
15,53.0,0.125,4.0
16,53.0,0.125,4.0
17,52.0,0.125,6.0
18,50.0,0.125,6.0
19,48.0,0.125,6.0
20,47.0,0.125,6.0
21,45.0,0.375,6.0
22,43.0,0.125,6.0
23,43.0,0.125,6.0
24,45.0,0.125,7.0
25,45.0,0.5,7.0
26,45.0,0.125,1.0
27,47.0,0.125,1.0
28,48.0,0.25,1.0
29,47.0,0.125,1.0
30,45.0,0.125,1.0
31,47.0,0.125,1.0
32,48.0,0.125,1.0
33,47.0,0.375,1.0
34,48.0,0.125,5.0
35,50.0,0.125,5.0
36,50.0,0.25,5.0
37,48.0,0.125,1.0
38,50.0,0.125,1.0
39,48.0,0.125,1.0
40,47.0,0.125,1.0
41,48.0,0.25,4.0
42,50.0,0.125,4.0
43,53.0,0.125,4.0
44,53.0,0.125,4.0
45,55.0,0.25,4.0
46,50.0,0.125,6.0
47,48.0,0.25,6.0
48,47.0,0.25,6.0
49,43.0,0.25,6.0
50,43.0,0.125,6.0
51,43.0,0.125,6.0
52,45.0,0.125,7.0
53,45.0,1.0,7.0
54,48.0,0.125,3.0
55,52.0,0.125,3.0
56,50.0,0.5,3.0
57,53.0,0.25,4.0
58,48.0,0.125,6.0
59,47.0,0.25,6.0
60,48.0,0.25,6.0
61,45.0,0.125,1.0
62,47.0,0.125,1.0
63,48.0,0.125,1.0
64,50.0,0.125,3.0
65,52.0,0.125,3.0
66,50.0,0.125,3.0
67,50.0,0.125,3.0
68,48.0,0.25,7.0
69,47.0,0.125,7.0
70,43.0,0.125,7.0
71,43.0,0.125,7.0
72,43.0,0.125,7.0
73,48.0,0.125,4.0
74,48.0,0.5,4.0
75,48.0,0.125,4.0
76,50.0,0.125,4.0
77,50.0,0.25,4.0
78,47.0,0.125,3.0
79,45.0,0.125,3.0
80,45.0,0.125,3.0
81,47.0,0.125,3.0
82,48.0,0.375,4.0
83,48.0,0.125,4.0
84,50.0,0.125,4.0
85,50.0,0.25,4.0
86,50.0,0.125,6.0
87,48.0,0.125,6.0
88,47.0,0.125,6.0
89,45.0,0.25,6.0
90,48.0,0.125,1.0
91,50.0,0.125,1.0
92,52.0,0.25,1.0
93,50.0,0.125,3.0
94,48.0,0.25,3.0
95,47.0,0.25,3.0
96,48.0,0.125,4.0
97,45.0,0.125,4.0
98,45.0,0.125,4.0
99,45.0,0.125,6.0
100,45.0,0.5,6.0
101,45.0,0.125,6.0
102,47.0,0.125,6.0
103,48.0,0.25,6.0
104,50.0,0.125,1.0
105,48.0,0.125,1.0
106,47.0,0.125,1.0
107,45.0,0.375,1.0
108,48.0,0.125,5.0
109,50.0,0.125,5.0
110,50.0,0.25,5.0
111,50.0,0.125,1.0
112,48.0,0.125,1.0
113,47.0,0.125,1.0
114,48.0,0.25,4.0
115,50.0,0.125,4.0
116,53.0,0.125,4.0
117,53.0,0.125,4.0
118,52.0,0.125,6.0
119,50.0,0.125,6.0
120,48.0,0.25,6.0
121,47.0,0.125,6.0
122,45.0,0.25,6.0
123,45.0,0.125,6.0
124,43.0,0.125,6.0
125,43.0,0.125,6.0
126,45.0,0.125,7.0
127,45.0,4.0,7.0
128,50.0,0.5,4.0
129,50.0,0.125,4.0
130,50.0,0.125,4.0
131,50.0,0.125,4.0
132,50.0,0.125,4.0
133,45.0,1.875,1.0
134,50.0,1.125,4.0
135,50.0,0.125,4.0
136,50.0,0.25,4.0
137,50.0,0.125,4.0
138,50.0,0.125,4.0
139,48.0,0.125,4.0
140,48.0,0.5,4.0
141,43.0,0.125,1.0
142,45.0,0.125,1.0
143,43.0,0.125,1.0
144,45.0,0.125,1.0
145,43.0,0.125,1.0
146,45.0,1.125,1.0
147,48.0,0.125,4.0
148,50.0,0.125,4.0
149,50.0,0.25,4.0
150,47.0,0.125,3.0
151,45.0,0.125,3.0
152,47.0,0.125,3.0
153,45.0,0.25,3.0
154,45.0,0.125,7.0
155,47.0,0.125,7.0
156,48.0,0.25,7.0
157,50.0,0.125,1.0
158,48.0,0.125,1.0
159,47.0,0.125,1.0
160,45.0,0.25,1.0
161,48.0,0.125,1.0
162,50.0,0.125,1.0
163,52.0,0.25,1.0
164,50.0,0.125,3.0
165,48.0,0.125,3.0
166,47.0,0.125,3.0
167,45.0,0.125,7.0
168,43.0,0.125,7.0
169,43.0,0.25,7.0
170,45.0,0.625,6.0
171,45.0,0.125,1.0
172,47.0,0.125,1.0
173,48.0,0.25,1.0
174,50.0,0.125,3.0
175,48.0,0.125,3.0
176,47.0,0.125,3.0
177,45.0,0.25,7.0
178,45.0,0.125,7.0
179,47.0,0.125,7.0
180,48.0,0.25,7.0
181,50.0,0.125,1.0
182,48.0,0.125,1.0
183,47.0,0.125,1.0
184,45.0,0.25,1.0
185,48.0,0.125,1.0
186,50.0,0.125,1.0
187,50.0,0.125,1.0
188,52.0,0.25,3.0
189,50.0,0.125,3.0
190,48.0,0.125,3.0
191,47.0,0.125,3.0
192,45.0,0.125,7.0
193,43.0,0.125,7.0
194,43.0,0.25,7.0
195,45.0,2.75,6.0
196,48.0,0.25,1.0
197,50.0,0.125,4.0
198,50.0,0.125,4.0
199,50.0,0.125,4.0
200,50.0,0.125,4.0
201,48.0,2.5,4.0
202,50.0,1.0,4.0
203,50.0,0.125,4.0
204,50.0,0.125,4.0
205,50.0,0.125,4.0
206,50.0,0.125,4.0
207,50.0,0.125,4.0
208,50.0,0.125,4.0
209,48.0,2.25,4.0
210,48.0,0.125,4.0
211,50.0,0.125,4.0
212,50.0,0.25,4.0
213,48.0,0.125,3.0
214,50.0,0.125,3.0
215,48.0,0.125,3.0
216,47.0,0.125,3.0
217,45.0,0.25,7.0
218,45.0,0.125,7.0
219,47.0,0.125,7.0
220,47.0,0.125,7.0
221,48.0,0.25,1.0
222,48.0,0.125,1.0
223,50.0,0.125,1.0
224,48.0,0.125,1.0
225,47.0,0.125,1.0
226,45.0,0.25,1.0
227,48.0,0.125,1.0
228,50.0,0.125,1.0
229,50.0,0.125,1.0
230,52.0,0.125,3.0
231,50.0,0.125,3.0
232,48.0,0.125,3.0
233,48.0,0.125,3.0
234,47.0,0.125,3.0
235,45.0,0.125,7.0
236,43.0,0.125,7.0
237,43.0,0.25,7.0
238,45.0,0.625,6.0
239,45.0,0.125,1.0
240,47.0,0.125,1.0
241,48.0,0.25,1.0
242,50.0,0.25,3.0
243,48.0,0.125,3.0
244,47.0,0.125,3.0
245,45.0,0.375,7.0
246,47.0,0.125,7.0
247,48.0,0.25,7.0
248,50.0,0.125,1.0
249,48.0,0.125,1.0
250,47.0,0.125,1.0
251,45.0,0.25,1.0
252,48.0,0.125,1.0
253,50.0,0.125,1.0
254,50.0,0.125,1.0
255,52.0,0.125,3.0
256,50.0,0.125,3.0
257,48.0,0.125,3.0
258,52.0,0.125,3.0
259,50.0,0.125,7.0
260,48.0,0.125,7.0
261,43.0,0.25,7.0
262,45.0,4.0,6.0
263,48.0,0.125,1.0
264,53.0,0.125,4.0
265,50.0,0.125,4.0
266,53.0,0.125,4.0
267,50.0,0.125,4.0
268,53.0,0.125,4.0
269,50.0,0.125,4.0
270,53.0,0.125,4.0
271,50.0,0.25,4.0
272,50.0,0.125,4.0
273,48.0,2.25,4.0
274,52.0,0.125,3.0
275,50.0,0.125,3.0
276,48.0,0.125,3.0
277,50.0,0.125,3.0
278,48.0,0.125,7.0
279,45.0,0.125,7.0
280,43.0,0.125,7.0
281,45.0,0.125,7.0
282,48.0,0.125,1.0
283,45.0,0.125,1.0
284,45.0,0.125,1.0
285,43.0,0.125,1.0
286,45.0,0.125,1.0
287,40.0,0.5,1.0
288,48.0,0.125,3.0
289,48.0,0.125,3.0
290,52.0,0.125,3.0
291,50.0,0.125,3.0
292,48.0,0.125,7.0
293,45.0,0.125,7.0
294,43.0,0.125,7.0
295,48.0,0.25,7.0
296,45.0,1.0,6.0
297,52.0,0.125,3.0
298,50.0,0.125,3.0
299,48.0,0.125,3.0
300,50.0,0.125,3.0
301,48.0,0.125,7.0
302,45.0,0.125,7.0
303,43.0,0.125,7.0
304,45.0,0.125,7.0
305,48.0,0.125,1.0
306,45.0,0.125,1.0
307,45.0,0.125,1.0
308,43.0,0.125,1.0
309,45.0,0.125,1.0
310,40.0,0.625,1.0
311,48.0,0.125,3.0
312,52.0,0.125,3.0
313,50.0,0.125,3.0
314,48.0,0.125,7.0
315,50.0,0.125,7.0
316,43.0,0.125,7.0
317,48.0,0.25,7.0
318,45.0,0.125,6.0
319,45.0,3.5,6.0
320,53.0,0.125,4.0
321,53.0,0.125,4.0
322,53.0,0.125,4.0
323,53.0,0.125,4.0
324,50.0,0.125,4.0
325,48.0,2.75,1.0
326,50.0,0.125,1.0
327,55.0,0.75,4.0
328,53.0,0.125,4.0
329,50.0,2.25,4.0
330,52.0,0.125,3.0
331,50.0,0.125,3.0
332,48.0,0.125,3.0
333,50.0,0.125,3.0
334,48.0,0.125,7.0
335,45.0,0.125,7.0
336,43.0,0.125,7.0
337,45.0,0.125,7.0
338,48.0,0.125,1.0
339,45.0,0.125,1.0
340,45.0,0.125,1.0
341,43.0,0.125,1.0
342,45.0,0.125,1.0
343,40.0,0.5,1.0
344,45.0,0.125,3.0
345,48.0,0.125,3.0
346,52.0,0.125,3.0
347,50.0,0.125,3.0
348,48.0,0.125,7.0
349,45.0,0.125,7.0
350,43.0,0.125,7.0
351,48.0,0.25,7.0
352,45.0,1.0,6.0
353,52.0,0.125,3.0
354,50.0,0.125,3.0
355,48.0,0.125,3.0
356,50.0,0.125,3.0
357,48.0,0.125,7.0
358,45.0,0.125,7.0
359,43.0,0.125,7.0
360,45.0,0.125,7.0
361,48.0,0.375,1.0
362,45.0,0.125,1.0
363,43.0,0.125,1.0
364,45.0,0.125,1.0
365,40.0,0.5,1.0
366,48.0,0.125,3.0
367,48.0,0.125,3.0
368,52.0,0.125,3.0
369,50.0,0.125,3.0
370,48.0,0.125,7.0
371,45.0,0.125,7.0
372,48.0,0.25,7.0
373,45.0,0.125,6.0
374,43.0,0.125,6.0
375,45.0,1.125,1.0
376,47.0,0.5,3.0
377,47.0,0.25,7.0
378,48.0,4.0,4.0
379,57.0,0.125,1.0
380,57.0,0.125,1.0
381,57.0,0.125,1.0
382,60.0,0.125,1.0
383,59.0,0.125,7.0
384,57.0,0.125,7.0
385,55.0,0.125,7.0
386,57.0,1.125,7.0
387,57.0,0.125,1.0
388,57.0,0.125,1.0
389,57.0,0.25,1.0
390,60.0,0.125,1.0
391,59.0,0.125,7.0
392,57.0,0.125,7.0
393,59.0,0.25,7.0
394,59.0,0.125,7.0
395,57.0,1.125,6.0
396,57.0,0.125,1.0
397,57.0,0.125,1.0
398,57.0,0.125,1.0
399,64.0,0.125,1.0
400,62.0,0.125,7.0
401,60.0,0.125,7.0
402,59.0,0.125,7.0
403,59.0,0.125,7.0
404,60.0,0.125,6.0
405,59.0,0.125,6.0
406,57.0,0.875,6.0
407,57.0,0.125,1.0
408,57.0,0.125,1.0
409,57.0,0.125,1.0
410,64.0,0.125,1.0
411,62.0,0.125,7.0
412,60.0,0.125,7.0
413,59.0,0.125,7.0
414,59.0,0.125,7.0
415,57.0,1.0,6.0
416,57.0,0.125,1.0
417,57.0,0.125,1.0
418,57.0,0.125,1.0
419,57.0,0.125,1.0
420,60.0,0.125,1.0
421,59.0,0.125,7.0
422,57.0,0.25,7.0
423,59.0,0.125,7.0
424,59.0,0.125,7.0
425,57.0,1.125,6.0
426,57.0,0.125,1.0
427,57.0,0.125,1.0
428,57.0,0.125,1.0
429,60.0,0.125,1.0
430,59.0,0.25,7.0
