,note,length,diatonic root
0,52.0,0.125,1.0
1,52.0,0.125,1.0
2,53.0,0.125,1.0
3,52.0,0.25,1.0
4,48.0,0.375,1.0
5,43.0,0.125,1.0
6,45.0,0.125,1.0
7,50.0,0.125,1.0
8,48.0,0.375,1.0
9,45.0,0.5,1.0
10,43.0,0.25,5.0
11,45.0,0.125,5.0
12,47.0,0.125,5.0
13,40.0,1.5,5.0
14,45.0,0.25,6.0
15,48.0,0.125,6.0
16,48.0,0.125,6.0
17,43.0,0.875,6.0
18,43.0,0.125,6.0
19,55.0,0.25,6.0
20,53.0,0.25,4.0
21,52.0,0.25,4.0
22,50.0,0.25,4.0
23,48.0,0.125,4.0
24,50.0,0.125,6.0
25,52.0,0.875,6.0
26,52.0,0.125,6.0
27,48.0,0.125,4.0
28,45.0,0.125,4.0
29,52.0,0.125,4.0
30,48.0,0.125,4.0
31,43.0,0.125,4.0
32,50.0,0.125,4.0
33,48.0,0.875,1.0
34,50.0,0.25,1.0
35,50.0,0.125,5.0
36,50.0,0.125,5.0
37,50.0,0.25,5.0
38,50.0,0.125,5.0
39,50.0,0.125,5.0
40,50.0,0.375,5.0
41,50.0,0.75,5.0
42,48.0,0.125,6.0
43,48.0,0.125,6.0
44,48.0,0.125,6.0
45,52.0,0.125,6.0
46,47.0,0.125,3.0
47,45.0,0.125,3.0
48,43.0,0.125,3.0
49,47.0,0.125,3.0
50,48.0,0.125,4.0
51,45.0,1.0,4.0
52,48.0,0.125,4.0
53,48.0,0.125,4.0
54,48.0,0.125,4.0
55,47.0,0.25,4.0
56,45.0,0.125,5.0
57,43.0,0.125,5.0
58,52.0,0.125,5.0
59,48.0,0.125,5.0
60,48.0,0.125,1.0
61,48.0,0.125,1.0
62,48.0,0.125,1.0
63,50.0,0.125,1.0
64,48.0,0.125,1.0
65,47.0,0.125,1.0
66,45.0,0.625,1.0
67,48.0,0.125,4.0
68,48.0,0.125,4.0
69,48.0,0.25,4.0
70,50.0,0.125,4.0
71,48.0,0.125,5.0
72,47.0,0.125,5.0
73,48.0,0.125,5.0
74,48.0,1.125,5.0
75,52.0,0.125,1.0
76,52.0,0.125,1.0
77,53.0,0.125,1.0
78,52.0,0.25,1.0
79,48.0,0.375,1.0
80,43.0,0.125,1.0
81,45.0,0.125,1.0
82,50.0,0.125,1.0
83,48.0,0.375,1.0
84,45.0,0.5,1.0
85,43.0,0.25,5.0
86,45.0,0.125,5.0
87,47.0,0.125,5.0
88,40.0,1.5,5.0
89,45.0,0.25,6.0
90,48.0,0.125,6.0
91,48.0,0.25,6.0
92,43.0,0.75,6.0
93,43.0,0.125,6.0
94,55.0,0.25,6.0
95,53.0,0.25,4.0
96,52.0,0.25,4.0
97,50.0,0.25,4.0
98,48.0,0.125,4.0
99,50.0,0.125,6.0
100,52.0,0.875,6.0
101,52.0,0.125,6.0
102,48.0,0.125,4.0
103,45.0,0.125,4.0
104,52.0,0.125,4.0
105,48.0,0.125,4.0
106,43.0,0.125,4.0
107,50.0,0.125,4.0
108,48.0,1.875,1.0
109,50.0,0.25,1.0
110,50.0,0.125,5.0
111,50.0,0.125,5.0
112,50.0,0.25,5.0
113,50.0,0.125,5.0
114,50.0,0.125,5.0
115,50.0,0.5,5.0
116,50.0,0.625,5.0
117,48.0,0.125,6.0
118,48.0,0.125,6.0
119,47.0,0.125,6.0
120,52.0,0.125,6.0
121,47.0,0.125,3.0
122,45.0,0.125,3.0
123,43.0,0.125,3.0
124,47.0,0.125,3.0
125,48.0,0.125,4.0
126,45.0,1.125,4.0
127,48.0,0.125,4.0
128,48.0,0.125,4.0
129,48.0,0.125,4.0
130,47.0,0.125,4.0
131,45.0,0.125,5.0
132,43.0,0.125,5.0
133,52.0,0.125,5.0
134,48.0,0.125,5.0
135,48.0,0.125,1.0
136,48.0,0.125,1.0
137,48.0,0.125,1.0
138,50.0,0.125,1.0
139,48.0,0.125,1.0
140,47.0,0.125,1.0
141,45.0,0.75,1.0
142,48.0,0.125,4.0
143,48.0,0.125,4.0
144,48.0,0.25,4.0
145,50.0,0.125,4.0
146,48.0,0.125,5.0
147,47.0,0.25,5.0
148,48.0,0.125,5.0
149,48.0,1.125,4.0
150,52.0,0.125,1.0
151,52.0,0.125,1.0
152,53.0,0.125,1.0
153,52.0,0.25,1.0
154,48.0,0.375,1.0
155,43.0,0.125,1.0
156,45.0,0.125,1.0
157,50.0,0.125,1.0
158,48.0,0.375,1.0
159,45.0,0.5,1.0
160,43.0,0.25,5.0
161,45.0,0.125,5.0
162,47.0,0.125,5.0
163,40.0,1.5,5.0
164,45.0,0.25,6.0
165,48.0,0.125,6.0
166,48.0,0.25,6.0
167,43.0,0.75,6.0
168,43.0,0.125,6.0
169,55.0,0.25,6.0
170,53.0,0.25,4.0
171,52.0,0.25,4.0
172,50.0,0.25,4.0
173,48.0,0.125,4.0
174,50.0,0.125,6.0
175,52.0,0.875,6.0
176,52.0,0.125,6.0
177,48.0,0.125,4.0
178,45.0,0.125,4.0
179,52.0,0.125,4.0
180,48.0,0.125,4.0
181,43.0,0.125,4.0
182,50.0,0.125,4.0
183,48.0,1.875,1.0
184,50.0,0.25,1.0
185,50.0,0.25,5.0
186,50.0,0.25,5.0
187,50.0,0.125,5.0
188,50.0,0.375,5.0
189,50.0,0.125,5.0
190,50.0,0.125,5.0
191,50.0,0.625,5.0
192,48.0,0.125,6.0
193,48.0,0.125,6.0
194,48.0,0.125,6.0
195,47.0,0.125,6.0
196,52.0,0.125,6.0
197,47.0,0.125,3.0
198,45.0,0.125,3.0
199,43.0,0.125,3.0
200,47.0,0.125,3.0
201,48.0,0.125,4.0
202,45.0,1.0,4.0
203,48.0,0.125,4.0
204,48.0,0.125,4.0
205,48.0,0.125,4.0
206,47.0,0.125,4.0
207,45.0,0.125,5.0
208,43.0,0.125,5.0
209,52.0,0.125,5.0
210,48.0,0.125,5.0
211,48.0,0.125,1.0
212,48.0,0.125,1.0
213,48.0,0.125,1.0
214,50.0,0.125,1.0
215,48.0,0.125,1.0
216,47.0,0.125,1.0
217,45.0,0.75,1.0
218,48.0,0.125,4.0
219,48.0,0.125,4.0
220,48.0,0.25,4.0
221,50.0,0.125,4.0
222,48.0,0.25,5.0
223,47.0,0.125,5.0
224,47.0,0.125,5.0
225,48.0,1.125,5.0
226,52.0,0.125,1.0
227,52.0,0.125,1.0
228,53.0,0.125,1.0
229,52.0,0.25,1.0
230,48.0,0.375,1.0
231,43.0,0.125,1.0
232,45.0,0.125,1.0
233,50.0,0.125,1.0
234,48.0,0.375,1.0
235,45.0,0.5,1.0
236,43.0,0.25,5.0
237,45.0,0.125,5.0
238,47.0,0.125,5.0
239,40.0,1.5,5.0
240,45.0,0.25,6.0
241,48.0,0.125,6.0
242,48.0,0.125,6.0
243,43.0,0.875,6.0
244,43.0,0.125,6.0
245,55.0,0.25,6.0
246,53.0,0.25,4.0
247,52.0,0.25,4.0
248,50.0,0.25,4.0
249,48.0,0.125,4.0
250,50.0,0.125,6.0
251,52.0,0.875,6.0
252,52.0,0.125,6.0
253,48.0,0.125,4.0
254,45.0,0.125,4.0
255,52.0,0.125,4.0
256,48.0,0.125,4.0
257,43.0,0.125,4.0
258,50.0,0.125,4.0
259,48.0,0.875,1.0
260,52.0,0.125,1.0
261,48.0,0.125,4.0
262,45.0,0.125,4.0
263,52.0,0.125,4.0
264,48.0,0.125,4.0
265,43.0,0.125,4.0
266,50.0,0.125,4.0
267,48.0,0.875,1.0
268,52.0,0.125,1.0
269,48.0,0.125,4.0
270,45.0,0.125,4.0
271,55.0,0.125,4.0
272,53.0,0.125,5.0
273,43.0,0.125,5.0
274,45.0,0.125,5.0
