,note,length,diatonic root
0,55.0,0.125,1.0
1,57.0,0.125,1.0
2,57.0,0.125,1.0
3,55.0,0.125,1.0
4,60.0,0.125,1.0
5,57.0,1.5,1.0
6,55.0,0.125,1.0
7,52.0,0.125,1.0
8,50.0,0.125,1.0
9,48.0,0.125,1.0
10,50.0,0.125,1.0
11,48.0,1.5,1.0
12,55.0,0.125,1.0
13,57.0,0.125,1.0
14,57.0,0.125,1.0
15,55.0,0.125,1.0
16,60.0,0.125,1.0
17,57.0,1.5,1.0
18,55.0,0.125,1.0
19,52.0,0.125,1.0
20,50.0,0.125,1.0
21,48.0,0.125,1.0
22,50.0,0.125,1.0
23,48.0,1.5,1.0
24,55.0,0.125,1.0
25,57.0,0.125,1.0
26,57.0,0.125,1.0
27,57.0,0.125,1.0
28,60.0,0.125,1.0
29,57.0,1.5,1.0
30,55.0,0.125,1.0
31,52.0,0.25,1.0
32,50.0,0.125,1.0
33,48.0,0.125,1.0
34,50.0,0.125,1.0
35,48.0,1.5,1.0
36,52.0,0.125,1.0
37,57.0,0.125,1.0
38,57.0,0.125,1.0
39,57.0,0.125,1.0
40,60.0,0.25,1.0
41,60.0,0.125,1.0
42,57.0,1.125,1.0
43,52.0,0.125,1.0
44,55.0,0.125,1.0
45,52.0,0.25,1.0
46,50.0,0.125,1.0
47,48.0,0.125,1.0
48,50.0,0.125,1.0
49,48.0,1.625,1.0
50,52.0,0.125,1.0
51,52.0,0.125,1.0
52,52.0,0.125,1.0
53,59.0,0.375,1.0
54,62.0,0.125,5.0
55,62.0,0.5,5.0
56,52.0,0.125,6.0
57,52.0,0.125,6.0
58,59.0,0.125,6.0
59,62.0,0.125,5.0
60,60.0,0.125,5.0
61,60.0,0.375,5.0
62,57.0,0.125,4.0
63,60.0,0.125,4.0
64,62.0,0.125,4.0
65,60.0,0.25,4.0
66,57.0,0.125,4.0
67,55.0,0.125,4.0
68,53.0,0.125,4.0
69,50.0,0.125,4.0
70,48.0,0.75,4.0
71,62.0,0.125,5.0
72,62.0,0.25,5.0
73,60.0,0.125,5.0
74,55.0,0.25,5.0
75,53.0,0.125,5.0
76,50.0,0.125,5.0
77,53.0,0.125,5.0
78,48.0,0.75,5.0
79,52.0,0.25,1.0
80,57.0,2.25,1.0
81,60.0,0.25,1.0
82,55.0,0.125,1.0
83,57.0,0.125,1.0
84,57.0,0.125,1.0
85,55.0,0.125,1.0
86,60.0,0.125,1.0
87,57.0,0.25,1.0
88,52.0,0.125,1.0
89,50.0,0.125,1.0
90,48.0,1.0,1.0
91,55.0,0.125,1.0
92,52.0,0.125,1.0
93,50.0,0.125,1.0
94,48.0,0.125,1.0
95,50.0,0.125,1.0
96,48.0,1.5,1.0
97,55.0,0.125,1.0
98,57.0,0.125,1.0
99,57.0,0.125,1.0
100,57.0,0.125,1.0
101,60.0,0.375,1.0
102,57.0,1.125,1.0
103,52.0,0.125,1.0
104,57.0,0.125,1.0
105,55.0,0.125,1.0
106,52.0,0.125,1.0
107,52.0,0.125,1.0
108,50.0,0.125,1.0
109,48.0,1.5,1.0
110,64.0,0.125,1.0
111,62.0,0.125,1.0
112,62.0,0.125,1.0
113,62.0,0.125,1.0
114,60.0,0.125,1.0
115,59.0,0.125,1.0
116,57.0,0.25,1.0
117,52.0,0.125,1.0
118,50.0,0.125,1.0
119,48.0,1.0,1.0
120,55.0,0.125,1.0
121,52.0,0.25,1.0
122,50.0,0.125,1.0
123,48.0,0.125,1.0
124,50.0,0.125,1.0
125,48.0,1.5,1.0
126,55.0,0.125,1.0
127,57.0,0.125,1.0
128,57.0,0.125,1.0
129,57.0,0.125,1.0
130,60.0,0.25,1.0
131,57.0,0.125,1.0
132,55.0,0.125,1.0
133,52.0,0.125,1.0
134,50.0,0.125,1.0
135,48.0,0.125,1.0
136,57.0,1.0,1.0
137,55.0,0.125,1.0
138,52.0,0.25,1.0
139,50.0,0.125,1.0
140,48.0,0.125,1.0
141,50.0,0.125,1.0
142,48.0,1.625,1.0
143,52.0,0.125,1.0
144,52.0,0.125,1.0
145,52.0,0.125,1.0
146,59.0,0.375,1.0
147,62.0,0.125,5.0
148,62.0,0.625,5.0
149,52.0,0.125,6.0
150,59.0,0.125,6.0
151,62.0,0.125,5.0
152,60.0,0.125,5.0
153,62.0,0.25,5.0
154,62.0,0.125,4.0
155,67.0,0.25,4.0
156,67.0,0.125,4.0
157,65.0,0.125,4.0
158,62.0,0.125,4.0
159,60.0,0.125,4.0
160,60.0,0.25,4.0
161,57.0,0.125,4.0
162,60.0,0.125,4.0
163,62.0,0.125,4.0
164,60.0,0.125,4.0
165,57.0,0.125,4.0
166,55.0,0.125,4.0
167,53.0,0.125,4.0
168,50.0,0.375,4.0
169,62.0,0.125,5.0
170,62.0,0.25,5.0
171,60.0,0.125,5.0
172,55.0,0.25,5.0
173,53.0,0.125,5.0
174,50.0,0.125,5.0
175,53.0,0.125,5.0
176,50.0,0.125,5.0
177,45.0,0.625,1.0
178,48.0,0.125,1.0
179,50.0,0.125,1.0
180,52.0,0.125,1.0
181,57.0,0.25,1.0
182,52.0,4.0,1.0
183,72.0,1.125,4.0
184,74.0,1.0,4.0
185,69.0,3.5,5.0
186,64.0,0.125,1.0
187,62.0,0.125,1.0
188,60.0,0.125,1.0
189,57.0,0.125,1.0
