,note,length,diatonic root
0,55.0,0.25,1.0
1,55.0,0.125,1.0
2,55.0,0.25,1.0
3,55.0,0.25,1.0
4,55.0,0.125,1.0
5,55.0,0.125,1.0
6,55.0,0.125,1.0
7,55.0,0.25,1.0
8,50.0,0.25,7.0
9,50.0,0.375,7.0
10,50.0,0.125,7.0
11,50.0,0.125,7.0
12,50.0,0.375,7.0
13,53.0,0.125,4.0
14,53.0,0.125,4.0
15,52.0,0.375,4.0
16,53.0,0.125,4.0
17,55.0,1.125,4.0
18,50.0,0.125,1.0
19,55.0,0.125,1.0
20,55.0,0.125,1.0
21,55.0,0.25,1.0
22,55.0,0.125,1.0
23,55.0,0.125,1.0
24,55.0,0.125,1.0
25,57.0,0.25,1.0
26,52.0,0.125,7.0
27,50.0,0.125,7.0
28,50.0,0.5,7.0
29,50.0,0.125,7.0
30,50.0,0.125,7.0
31,53.0,0.125,4.0
32,50.0,0.125,4.0
33,53.0,0.5,4.0
34,53.0,0.125,4.0
35,50.0,0.125,4.0
36,55.0,1.125,4.0
37,55.0,0.125,1.0
38,55.0,0.125,1.0
39,55.0,0.25,1.0
40,55.0,0.25,1.0
41,57.0,0.25,1.0
42,52.0,0.125,7.0
43,50.0,0.25,7.0
44,50.0,0.25,7.0
45,50.0,0.125,7.0
46,50.0,0.125,7.0
47,50.0,0.125,7.0
48,53.0,0.375,4.0
49,50.0,0.125,4.0
50,53.0,0.125,4.0
51,52.0,0.125,4.0
52,50.0,0.125,4.0
53,55.0,1.125,4.0
54,55.0,0.125,1.0
55,55.0,0.25,1.0
56,55.0,0.25,1.0
57,55.0,0.125,1.0
58,55.0,0.25,1.0
59,50.0,0.5,7.0
60,50.0,0.125,7.0
61,50.0,0.125,7.0
62,50.0,0.5,7.0
63,48.0,0.125,4.0
64,55.0,0.125,4.0
65,53.0,0.125,4.0
66,50.0,0.125,4.0
67,55.0,2.25,4.0
68,59.0,0.125,5.0
69,59.0,0.125,5.0
70,59.0,0.125,5.0
71,59.0,0.625,5.0
72,60.0,0.125,5.0
73,57.0,0.125,5.0
74,60.0,0.125,5.0
75,60.0,0.375,5.0
76,60.0,1.625,5.0
77,62.0,0.125,1.0
78,57.0,0.25,1.0
79,59.0,0.125,1.0
80,59.0,0.125,5.0
81,53.0,0.25,5.0
82,55.0,0.375,5.0
83,55.0,0.125,5.0
84,53.0,0.25,5.0
85,60.0,0.25,5.0
86,55.0,0.125,5.0
87,53.0,0.125,5.0
88,53.0,0.125,5.0
89,53.0,0.25,5.0
90,52.0,0.125,5.0
91,55.0,2.0,1.0
92,55.0,0.125,1.0
93,55.0,0.125,1.0
94,55.0,0.25,1.0
95,55.0,0.25,1.0
96,55.0,0.125,1.0
97,50.0,0.125,7.0
98,50.0,0.5,7.0
99,50.0,0.125,7.0
100,50.0,0.25,7.0
101,50.0,0.125,7.0
102,53.0,0.125,4.0
103,53.0,0.125,4.0
104,50.0,0.125,4.0
105,53.0,0.125,4.0
106,52.0,0.25,4.0
107,53.0,0.125,4.0
108,52.0,0.125,4.0
109,53.0,0.125,4.0
110,55.0,1.125,4.0
111,55.0,0.125,1.0
112,55.0,0.125,1.0
113,55.0,0.25,1.0
114,55.0,0.125,1.0
115,55.0,0.125,1.0
116,55.0,0.125,1.0
117,50.0,0.125,7.0
118,50.0,0.5,7.0
119,50.0,0.125,7.0
120,48.0,0.125,7.0
121,50.0,0.25,7.0
122,48.0,0.5,4.0
123,53.0,0.125,4.0
124,52.0,0.125,4.0
125,55.0,1.125,4.0
126,55.0,0.125,1.0
127,60.0,0.125,1.0
128,60.0,0.125,1.0
129,60.0,0.25,1.0
130,60.0,0.125,1.0
131,60.0,0.125,1.0
132,60.0,0.125,1.0
133,55.0,0.125,7.0
134,55.0,0.5,7.0
135,57.0,0.125,7.0
136,57.0,0.125,7.0
137,57.0,0.125,7.0
138,60.0,0.125,4.0
139,60.0,0.5,4.0
140,60.0,0.125,4.0
141,57.0,0.125,4.0
142,60.0,0.125,4.0
143,60.0,0.25,1.0
144,57.0,1.875,1.0
145,62.0,0.125,5.0
146,59.0,0.125,5.0
147,62.0,0.125,5.0
148,55.0,0.625,5.0
149,64.0,0.25,5.0
150,60.0,0.125,5.0
151,64.0,0.125,5.0
152,60.0,0.375,5.0
153,60.0,0.75,5.0
154,60.0,0.25,1.0
155,57.0,0.125,1.0
156,55.0,0.5,1.0
157,64.0,0.375,1.0
158,60.0,0.125,1.0
159,62.0,0.125,1.0
160,55.0,0.25,5.0
161,55.0,0.375,5.0
