,note,length,diatonic root
0,52.0,0.125,1.0
1,48.0,0.125,1.0
2,55.0,0.25,1.0
3,55.0,0.125,5.0
4,52.0,0.125,5.0
5,50.0,0.125,6.0
6,48.0,1.125,6.0
7,53.0,0.125,4.0
8,53.0,0.125,4.0
9,52.0,0.125,4.0
10,50.0,0.125,1.0
11,48.0,0.125,1.0
12,52.0,0.125,1.0
13,50.0,1.125,1.0
14,52.0,0.125,1.0
15,48.0,0.125,1.0
16,55.0,0.25,1.0
17,50.0,0.125,5.0
18,52.0,0.125,5.0
19,50.0,0.125,6.0
20,48.0,1.125,6.0
21,53.0,0.125,4.0
22,53.0,0.125,4.0
23,52.0,0.125,4.0
24,50.0,0.125,1.0
25,48.0,0.125,1.0
26,52.0,0.125,1.0
27,50.0,1.5,1.0
28,48.0,0.125,6.0
29,48.0,0.25,6.0
30,50.0,0.125,6.0
31,47.0,1.5,6.0
32,45.0,0.125,3.0
33,45.0,0.25,3.0
34,48.0,0.125,3.0
35,45.0,0.625,3.0
36,50.0,0.25,6.0
37,52.0,0.125,6.0
38,53.0,0.5,6.0
39,50.0,0.125,2.0
40,50.0,0.25,2.0
41,48.0,0.125,2.0
42,45.0,0.125,2.0
43,43.0,0.625,2.0
44,52.0,0.125,5.0
45,50.0,0.125,5.0
46,50.0,0.125,5.0
47,48.0,4.0,5.0
48,52.0,0.125,1.0
49,48.0,0.125,1.0
50,55.0,0.25,1.0
51,55.0,0.125,5.0
52,52.0,0.125,5.0
53,50.0,0.125,6.0
54,48.0,1.125,6.0
55,53.0,0.125,4.0
56,53.0,0.125,4.0
57,52.0,0.125,4.0
58,50.0,0.125,1.0
59,48.0,0.125,1.0
60,52.0,0.125,1.0
61,50.0,1.125,1.0
62,52.0,0.125,1.0
63,48.0,0.125,1.0
64,55.0,0.25,1.0
65,57.0,0.125,5.0
66,52.0,1.5,5.0
67,53.0,0.125,4.0
68,53.0,0.125,4.0
69,52.0,0.125,4.0
70,50.0,0.125,1.0
71,48.0,0.125,1.0
72,52.0,0.125,1.0
73,50.0,1.5,1.0
74,48.0,0.125,6.0
75,48.0,0.25,6.0
76,50.0,0.125,6.0
77,47.0,1.5,6.0
78,45.0,0.125,3.0
79,45.0,0.25,3.0
80,48.0,0.125,3.0
81,45.0,0.625,3.0
82,50.0,0.25,6.0
83,52.0,0.125,6.0
84,53.0,0.5,6.0
85,50.0,0.125,2.0
86,50.0,0.25,2.0
87,48.0,0.125,2.0
88,47.0,0.125,2.0
89,45.0,0.125,2.0
90,43.0,0.625,2.0
91,52.0,0.125,5.0
92,50.0,0.125,5.0
93,50.0,0.125,5.0
94,48.0,4.0,5.0
95,57.0,0.125,4.0
96,57.0,0.125,4.0
97,55.0,0.25,4.0
98,55.0,0.125,1.0
99,53.0,0.125,1.0
100,52.0,0.125,1.0
101,50.0,0.25,1.0
102,53.0,0.125,2.0
103,50.0,0.125,2.0
104,55.0,0.25,2.0
105,50.0,0.125,5.0
106,52.0,0.125,5.0
107,50.0,0.125,5.0
108,52.0,2.25,5.0
109,57.0,0.125,4.0
110,57.0,0.125,4.0
111,55.0,0.25,4.0
112,55.0,0.125,1.0
113,53.0,0.125,1.0
114,52.0,0.125,1.0
115,50.0,0.25,1.0
116,53.0,0.125,2.0
117,50.0,0.125,2.0
118,55.0,0.25,2.0
119,55.0,0.125,5.0
120,52.0,0.75,5.0
121,52.0,0.125,5.0
122,55.0,0.125,5.0
123,57.0,1.875,5.0
124,53.0,0.125,5.0
125,52.0,4.0,5.0
126,48.0,0.125,6.0
127,48.0,0.25,6.0
128,50.0,0.125,6.0
129,47.0,1.5,6.0
130,45.0,0.125,3.0
131,45.0,0.25,3.0
132,48.0,0.125,3.0
133,45.0,0.625,3.0
134,50.0,0.25,6.0
135,52.0,0.125,6.0
136,53.0,0.5,6.0
137,50.0,0.125,2.0
138,50.0,0.25,2.0
139,48.0,0.125,2.0
140,47.0,0.125,2.0
141,45.0,0.125,2.0
142,43.0,0.625,2.0
143,52.0,0.125,5.0
144,50.0,0.125,5.0
145,50.0,0.125,5.0
146,48.0,4.0,5.0
147,52.0,0.125,1.0
148,48.0,0.125,1.0
149,55.0,0.25,1.0
150,55.0,0.125,5.0
151,52.0,0.125,5.0
152,50.0,0.125,6.0
153,48.0,1.125,6.0
154,53.0,0.125,4.0
155,53.0,0.125,4.0
156,52.0,0.125,4.0
157,50.0,0.125,1.0
158,48.0,0.125,1.0
159,52.0,0.125,1.0
160,50.0,0.25,1.0
161,52.0,1.0,5.0
162,52.0,0.125,1.0
163,48.0,0.125,1.0
164,55.0,0.25,1.0
165,50.0,0.125,5.0
166,52.0,0.125,5.0
167,53.0,0.125,6.0
168,52.0,0.125,6.0
169,50.0,0.125,6.0
170,48.0,1.0,6.0
171,53.0,0.125,4.0
172,53.0,0.125,4.0
173,52.0,0.125,4.0
174,50.0,0.125,1.0
175,48.0,0.125,1.0
176,52.0,0.125,1.0
177,50.0,1.5,1.0
178,48.0,0.125,6.0
179,48.0,0.25,6.0
180,50.0,0.125,6.0
181,47.0,1.5,6.0
182,45.0,0.25,3.0
183,45.0,0.125,3.0
184,48.0,0.125,3.0
185,45.0,0.625,3.0
186,50.0,0.25,6.0
187,52.0,0.125,6.0
188,53.0,0.5,6.0
189,50.0,0.125,2.0
190,50.0,0.25,2.0
191,48.0,0.125,2.0
192,47.0,0.125,2.0
193,45.0,0.125,2.0
194,43.0,0.625,2.0
195,52.0,0.125,5.0
196,50.0,0.125,5.0
197,50.0,0.125,5.0
