,note,length,diatonic root
0,62.0,0.25,5.0
1,62.0,0.125,5.0
2,62.0,0.125,5.0
3,60.0,0.125,4.0
4,60.0,0.125,4.0
5,57.0,0.125,4.0
6,60.0,0.375,4.0
7,60.0,0.125,4.0
8,60.0,0.125,4.0
9,60.0,0.25,4.0
10,60.0,0.125,4.0
11,62.0,0.125,4.0
12,62.0,0.125,4.0
13,62.0,0.125,4.0
14,62.0,0.125,4.0
15,60.0,0.125,1.0
16,60.0,0.125,1.0
17,57.0,0.125,1.0
18,60.0,0.375,1.0
19,60.0,0.125,1.0
20,60.0,0.125,1.0
21,60.0,0.25,1.0
22,60.0,0.125,1.0
23,62.0,0.125,1.0
24,62.0,0.25,1.0
25,62.0,0.125,1.0
26,62.0,0.125,1.0
27,60.0,0.125,4.0
28,60.0,0.125,4.0
29,57.0,0.125,4.0
30,60.0,0.375,4.0
31,60.0,0.125,4.0
32,60.0,0.125,4.0
33,60.0,0.125,4.0
34,60.0,0.125,4.0
35,60.0,0.125,4.0
36,62.0,0.125,4.0
37,60.0,0.375,4.0
38,62.0,0.125,4.0
39,62.0,0.125,1.0
40,62.0,0.125,1.0
41,62.0,0.125,1.0
42,60.0,0.125,1.0
43,57.0,0.25,1.0
44,55.0,0.25,1.0
45,59.0,0.125,5.0
46,59.0,0.125,5.0
47,60.0,0.25,5.0
48,60.0,0.25,1.0
49,60.0,0.125,1.0
50,62.0,0.125,1.0
51,62.0,0.125,4.0
52,60.0,0.125,4.0
53,57.0,0.125,4.0
54,60.0,0.125,4.0
55,60.0,0.125,4.0
56,62.0,0.125,4.0
57,60.0,0.25,4.0
58,62.0,0.125,1.0
59,60.0,0.125,1.0
60,57.0,0.125,1.0
61,60.0,0.125,1.0
62,60.0,0.25,1.0
63,60.0,0.125,1.0
64,62.0,0.125,1.0
65,60.0,0.125,4.0
66,60.0,0.125,4.0
67,57.0,0.125,4.0
68,60.0,0.125,4.0
69,60.0,0.125,4.0
70,62.0,0.125,4.0
71,60.0,0.25,4.0
72,62.0,0.125,1.0
73,62.0,0.125,1.0
74,60.0,0.25,1.0
75,62.0,0.125,1.0
76,60.0,0.125,1.0
77,60.0,0.25,1.0
78,62.0,0.125,4.0
79,60.0,0.125,4.0
80,57.0,0.125,4.0
81,60.0,0.125,4.0
82,60.0,0.125,4.0
83,62.0,0.125,4.0
84,60.0,0.25,4.0
85,62.0,0.125,1.0
86,60.0,0.125,1.0
87,57.0,0.125,1.0
88,60.0,0.125,1.0
89,60.0,0.125,1.0
90,62.0,0.125,1.0
91,60.0,0.125,1.0
92,62.0,0.25,1.0
93,62.0,0.25,2.0
94,62.0,0.25,2.0
95,62.0,0.25,2.0
96,55.0,0.25,2.0
97,55.0,0.25,5.0
98,55.0,0.25,5.0
99,62.0,0.125,5.0
100,62.0,0.125,5.0
101,62.0,0.125,5.0
102,60.0,0.125,4.0
103,60.0,0.125,4.0
104,57.0,0.125,4.0
105,60.0,0.375,4.0
106,60.0,0.125,4.0
107,60.0,0.125,4.0
