,note,length,diatonic root
0,55.0,0.375,1.0
1,55.0,0.25,1.0
2,53.0,0.25,1.0
3,53.0,0.25,1.0
4,52.0,0.125,1.0
5,53.0,0.25,1.0
6,55.0,0.875,1.0
7,55.0,0.125,1.0
8,55.0,0.375,1.0
9,53.0,0.25,1.0
10,52.0,0.125,1.0
11,55.0,1.125,1.0
12,55.0,0.125,1.0
13,55.0,0.375,1.0
14,53.0,0.25,1.0
15,52.0,0.125,1.0
16,53.0,0.25,1.0
17,55.0,0.5,1.0
18,57.0,0.125,1.0
19,55.0,0.25,1.0
20,57.0,0.25,1.0
21,57.0,0.125,1.0
22,55.0,0.375,1.0
23,53.0,0.25,1.0
24,50.0,0.25,1.0
25,50.0,0.125,1.0
26,50.0,0.25,1.0
27,48.0,0.375,1.0
28,50.0,0.375,1.0
29,45.0,1.125,4.0
30,45.0,0.125,4.0
31,48.0,0.375,4.0
32,50.0,0.375,4.0
33,45.0,1.125,4.0
34,57.0,0.125,4.0
35,55.0,0.625,4.0
36,57.0,0.375,5.0
37,57.0,0.375,5.0
38,55.0,0.375,5.0
39,53.0,0.375,5.0
40,55.0,0.5,5.0
41,57.0,0.375,5.0
42,55.0,0.375,5.0
43,53.0,0.5,5.0
44,55.0,0.25,5.0
45,50.0,0.375,5.0
46,48.0,1.5,1.0
47,55.0,0.375,1.0
48,55.0,0.25,1.0
49,55.0,0.25,1.0
50,53.0,0.125,1.0
51,52.0,0.25,1.0
52,53.0,0.25,1.0
53,55.0,0.875,1.0
54,55.0,0.125,1.0
55,55.0,0.125,1.0
56,53.0,0.25,1.0
57,53.0,0.25,1.0
58,52.0,0.25,1.0
59,55.0,0.875,1.0
60,55.0,0.375,1.0
61,53.0,0.25,1.0
62,53.0,0.25,1.0
63,52.0,0.25,1.0
64,53.0,0.25,1.0
65,55.0,0.25,1.0
66,57.0,0.25,1.0
67,55.0,0.125,1.0
68,57.0,0.375,1.0
69,57.0,0.25,1.0
70,55.0,0.25,1.0
71,53.0,0.25,1.0
72,50.0,0.25,1.0
73,50.0,0.125,1.0
74,50.0,0.25,1.0
75,48.0,0.375,1.0
76,50.0,0.375,1.0
77,45.0,1.125,4.0
78,45.0,0.125,4.0
79,48.0,0.375,4.0
80,50.0,0.375,4.0
81,45.0,1.0,4.0
82,57.0,0.25,4.0
83,55.0,0.625,4.0
84,57.0,0.375,5.0
85,57.0,0.375,5.0
86,55.0,0.375,5.0
87,53.0,0.375,5.0
88,55.0,0.5,5.0
89,57.0,0.375,5.0
90,55.0,0.375,5.0
91,53.0,0.5,5.0
92,55.0,0.25,5.0
93,50.0,0.375,5.0
94,48.0,4.0,1.0
95,55.0,0.375,1.0
96,55.0,0.25,1.0
97,53.0,0.25,1.0
98,53.0,0.25,1.0
99,52.0,0.125,1.0
100,53.0,0.25,1.0
101,55.0,0.625,1.0
102,55.0,0.25,1.0
103,55.0,0.25,1.0
104,53.0,0.25,1.0
105,53.0,0.25,1.0
106,52.0,0.25,1.0
107,55.0,0.625,1.0
108,55.0,0.375,1.0
109,55.0,0.25,1.0
110,53.0,0.125,1.0
111,53.0,0.25,1.0
112,53.0,0.125,1.0
113,52.0,0.25,1.0
114,53.0,0.25,1.0
115,55.0,0.25,1.0
116,57.0,0.125,1.0
117,55.0,0.375,1.0
118,57.0,0.25,1.0
119,57.0,0.125,1.0
120,55.0,0.375,1.0
121,53.0,0.25,1.0
122,50.0,0.25,1.0
123,50.0,0.125,1.0
124,50.0,0.25,1.0
125,48.0,0.375,1.0
126,50.0,0.375,1.0
127,45.0,1.125,4.0
128,45.0,0.125,4.0
129,48.0,0.375,4.0
130,50.0,0.375,4.0
131,45.0,1.125,4.0
132,57.0,0.125,4.0
133,55.0,0.625,4.0
134,57.0,0.375,5.0
135,57.0,0.375,5.0
136,55.0,0.375,5.0
137,53.0,0.375,5.0
138,55.0,0.5,5.0
139,57.0,0.375,5.0
140,55.0,0.375,5.0
141,53.0,0.5,5.0
142,55.0,0.25,5.0
143,50.0,0.375,5.0
144,48.0,1.125,1.0
145,55.0,0.25,1.0
146,55.0,0.125,1.0
147,55.0,0.25,1.0
148,55.0,0.625,1.0
149,53.0,0.375,1.0
150,52.0,0.25,1.0
151,55.0,0.875,1.0
152,55.0,0.5,1.0
153,53.0,0.375,1.0
154,52.0,0.25,1.0
155,55.0,0.875,1.0
156,55.0,0.5,1.0
157,53.0,0.375,1.0
158,50.0,0.25,1.0
159,48.0,0.125,1.0
160,50.0,0.25,1.0
161,50.0,0.25,1.0
162,48.0,0.125,1.0
163,50.0,0.25,1.0
164,48.0,0.125,4.0
165,45.0,1.125,4.0
166,45.0,0.125,4.0
167,48.0,0.375,4.0
168,50.0,0.375,4.0
169,45.0,1.125,4.0
170,57.0,0.125,4.0
171,55.0,0.625,4.0
172,57.0,0.375,5.0
173,57.0,0.375,5.0
174,55.0,0.375,5.0
175,53.0,0.375,5.0
176,55.0,0.5,5.0
177,57.0,0.375,5.0
178,55.0,0.375,5.0
179,53.0,0.5,5.0
180,55.0,0.25,5.0
181,50.0,0.375,5.0
