,note,length,diatonic root
0,50.0,0.125,1.0
1,52.0,0.125,1.0
2,55.0,0.125,1.0
3,57.0,0.125,1.0
4,60.0,0.125,1.0
5,57.0,0.125,1.0
6,52.0,0.125,1.0
7,55.0,0.125,1.0
8,57.0,0.625,1.0
9,52.0,0.125,1.0
10,55.0,0.125,1.0
11,52.0,0.125,1.0
12,55.0,0.125,1.0
13,52.0,0.125,1.0
14,55.0,0.125,1.0
15,52.0,0.125,1.0
16,55.0,0.125,1.0
17,52.0,0.125,1.0
18,52.0,0.125,1.0
19,50.0,0.125,1.0
20,48.0,0.125,1.0
21,45.0,3.5,1.0
22,55.0,0.125,1.0
23,57.0,0.125,1.0
24,64.0,0.125,1.0
25,57.0,0.125,1.0
26,62.0,0.125,1.0
27,62.0,0.125,1.0
28,60.0,0.125,1.0
29,62.0,0.125,1.0
30,62.0,0.125,1.0
31,60.0,0.125,1.0
32,57.0,0.5,1.0
33,55.0,0.125,1.0
34,52.0,0.125,1.0
35,57.0,0.125,1.0
36,52.0,0.125,1.0
37,52.0,0.125,1.0
38,55.0,0.125,1.0
39,50.0,0.125,1.0
40,52.0,0.125,1.0
41,50.0,0.125,1.0
42,48.0,0.125,1.0
43,45.0,1.625,1.0
44,52.0,0.125,1.0
45,50.0,0.25,1.0
46,55.0,0.125,1.0
47,52.0,0.125,1.0
48,55.0,0.125,1.0
49,52.0,0.125,1.0
50,55.0,0.125,1.0
51,52.0,0.125,1.0
52,52.0,0.125,1.0
53,52.0,0.125,1.0
54,50.0,0.125,1.0
55,55.0,0.125,1.0
56,52.0,0.5,1.0
57,57.0,0.125,4.0
58,57.0,0.125,4.0
59,55.0,0.125,4.0
60,65.0,0.125,4.0
61,62.0,0.125,4.0
62,60.0,0.125,4.0
63,60.0,0.125,4.0
64,57.0,1.75,4.0
65,55.0,0.125,1.0
66,57.0,0.125,1.0
67,57.0,0.125,1.0
68,57.0,0.125,1.0
69,57.0,0.125,6.0
70,57.0,0.125,6.0
71,60.0,1.125,6.0
72,64.0,0.125,7.0
73,64.0,0.125,7.0
74,62.0,0.125,7.0
75,60.0,0.125,7.0
76,64.0,0.125,7.0
77,60.0,0.125,7.0
78,60.0,0.125,1.0
79,57.0,0.125,1.0
80,57.0,0.125,1.0
81,52.0,4.0,1.0
82,50.0,0.125,1.0
83,52.0,0.125,1.0
84,52.0,0.125,1.0
85,62.0,0.125,1.0
86,60.0,0.125,1.0
87,57.0,0.125,1.0
88,55.0,0.125,1.0
89,57.0,0.125,1.0
90,55.0,0.125,1.0
91,52.0,0.125,1.0
92,48.0,0.5,1.0
93,52.0,0.125,1.0
94,55.0,0.125,1.0
95,55.0,0.125,1.0
96,55.0,0.125,1.0
97,55.0,0.125,1.0
98,55.0,0.125,1.0
99,52.0,0.25,1.0
100,55.0,0.125,1.0
101,52.0,0.125,1.0
102,52.0,0.125,1.0
103,50.0,0.125,1.0
104,48.0,3.5,1.0
105,52.0,0.125,1.0
106,55.0,0.125,1.0
107,52.0,0.125,1.0
108,55.0,0.125,1.0
109,55.0,0.125,1.0
110,55.0,0.125,1.0
111,52.0,0.125,1.0
112,55.0,0.125,1.0
113,52.0,0.125,1.0
114,55.0,0.125,1.0
115,52.0,0.125,1.0
116,55.0,0.125,1.0
117,52.0,0.625,1.0
118,52.0,0.125,1.0
119,55.0,0.125,1.0
120,52.0,0.125,1.0
121,62.0,0.125,1.0
122,60.0,0.25,1.0
123,57.0,0.125,1.0
124,55.0,0.125,1.0
125,57.0,0.125,1.0
126,57.0,1.75,1.0
127,52.0,0.125,1.0
128,52.0,0.125,1.0
129,55.0,0.125,1.0
130,55.0,0.125,1.0
131,55.0,0.125,1.0
132,55.0,0.125,1.0
133,52.0,0.125,1.0
134,55.0,0.125,1.0
135,50.0,0.125,1.0
136,52.0,0.625,1.0
137,57.0,0.125,4.0
138,57.0,0.125,4.0
139,57.0,0.125,4.0
140,55.0,0.125,4.0
141,57.0,0.125,4.0
142,57.0,0.125,4.0
143,53.0,0.125,4.0
144,53.0,0.125,4.0
145,57.0,0.125,4.0
146,55.0,0.125,4.0
147,53.0,0.125,4.0
148,48.0,0.625,1.0
149,62.0,0.125,1.0
150,60.0,0.125,1.0
151,57.0,0.875,1.0
152,55.0,0.125,1.0
153,57.0,0.125,1.0
154,57.0,0.125,1.0
155,60.0,0.125,1.0
156,60.0,0.125,6.0
157,60.0,0.125,6.0
158,55.0,0.125,6.0
159,55.0,0.125,6.0
160,57.0,1.0,6.0
161,62.0,0.125,7.0
162,62.0,0.25,7.0
163,60.0,0.125,7.0
164,59.0,0.375,7.0
165,62.0,0.125,1.0
166,62.0,0.125,1.0
