,note,length,diatonic root
0,60.0,0.375,1.0
1,60.0,0.125,1.0
2,60.0,0.125,1.0
3,60.0,0.125,1.0
4,60.0,0.125,1.0
5,62.0,0.125,1.0
6,60.0,0.125,1.0
7,57.0,0.125,1.0
8,60.0,0.875,1.0
9,60.0,0.125,1.0
10,60.0,0.125,1.0
11,62.0,0.125,1.0
12,60.0,0.125,1.0
13,60.0,0.125,1.0
14,60.0,0.125,1.0
15,62.0,0.125,1.0
16,60.0,0.25,1.0
17,60.0,0.25,1.0
18,57.0,0.25,1.0
19,55.0,0.125,1.0
20,53.0,0.125,1.0
21,50.0,0.125,4.0
22,53.0,1.5,4.0
23,60.0,0.125,4.0
24,55.0,0.25,4.0
25,60.0,1.625,4.0
26,60.0,0.25,1.0
27,55.0,0.125,1.0
28,57.0,4.0,1.0
29,60.0,0.125,1.0
30,57.0,0.125,1.0
31,60.0,0.25,1.0
32,60.0,0.125,1.0
33,57.0,0.125,1.0
34,60.0,0.125,1.0
35,57.0,0.125,1.0
36,60.0,1.0,1.0
37,60.0,0.125,1.0
38,62.0,0.25,1.0
39,62.0,0.125,1.0
40,60.0,0.25,1.0
41,64.0,0.125,1.0
42,60.0,0.25,1.0
43,60.0,0.25,1.0
44,57.0,0.25,1.0
45,53.0,0.25,1.0
46,53.0,0.25,4.0
47,50.0,0.25,4.0
48,48.0,1.0,4.0
49,60.0,0.125,4.0
50,55.0,0.25,4.0
51,60.0,1.625,4.0
52,60.0,0.25,1.0
53,55.0,0.125,1.0
54,57.0,4.0,1.0
55,60.0,0.125,1.0
56,57.0,0.125,1.0
57,60.0,0.125,1.0
58,60.0,0.625,1.0
59,60.0,0.125,1.0
60,57.0,0.125,1.0
61,60.0,0.625,1.0
62,57.0,0.125,1.0
63,60.0,0.125,1.0
64,60.0,0.125,1.0
65,62.0,0.125,1.0
66,60.0,0.125,1.0
67,60.0,0.125,1.0
68,60.0,0.125,1.0
69,62.0,0.125,1.0
70,60.0,0.25,1.0
71,60.0,0.25,1.0
72,57.0,0.25,1.0
73,53.0,0.5,1.0
74,50.0,0.25,4.0
75,48.0,0.75,4.0
76,55.0,0.125,4.0
77,60.0,0.125,4.0
78,60.0,0.125,4.0
79,55.0,0.125,4.0
80,60.0,1.625,4.0
81,60.0,0.125,1.0
82,60.0,0.125,1.0
83,55.0,0.125,1.0
84,57.0,4.0,1.0
85,60.0,0.125,1.0
86,60.0,0.125,1.0
87,62.0,0.125,1.0
88,60.0,0.125,1.0
89,60.0,0.25,1.0
90,62.0,0.125,1.0
91,57.0,0.125,1.0
92,60.0,1.0,1.0
93,60.0,0.125,1.0
94,62.0,0.25,1.0
95,65.0,0.125,1.0
96,62.0,0.25,1.0
97,65.0,0.125,1.0
98,65.0,0.125,1.0
99,65.0,0.25,1.0
100,62.0,0.125,1.0
101,60.0,0.25,1.0
102,53.0,1.75,1.0
103,60.0,0.125,4.0
104,55.0,0.25,4.0
105,60.0,1.625,4.0
106,60.0,0.25,1.0
107,55.0,0.125,1.0
108,57.0,4.0,1.0
109,60.0,0.125,1.0
110,57.0,0.125,1.0
111,60.0,0.25,1.0
112,60.0,0.125,1.0
113,60.0,0.125,1.0
114,62.0,0.125,1.0
115,60.0,0.25,1.0
116,60.0,0.875,1.0
117,60.0,0.125,1.0
118,60.0,0.125,1.0
119,62.0,0.125,1.0
120,60.0,0.125,1.0
121,62.0,0.25,1.0
122,60.0,0.125,1.0
123,62.0,0.25,1.0
124,60.0,0.25,1.0
125,60.0,0.5,1.0
126,53.0,0.375,4.0
127,48.0,1.0,4.0
128,60.0,0.125,4.0
129,60.0,0.25,4.0
130,60.0,1.75,4.0
131,60.0,0.25,1.0
132,55.0,0.125,1.0
133,57.0,2.5,1.0
134,60.0,0.75,1.0
135,60.0,0.125,1.0
136,60.0,0.125,5.0
137,62.0,0.125,5.0
138,60.0,0.25,5.0
139,60.0,0.375,5.0
140,60.0,1.0,1.0
141,60.0,0.125,1.0
142,60.0,0.125,1.0
143,62.0,0.125,1.0
144,60.0,0.25,1.0
145,62.0,0.125,1.0
146,60.0,0.125,1.0
147,60.0,1.125,1.0
148,60.0,0.125,1.0
149,60.0,0.125,1.0
150,62.0,0.125,1.0
151,60.0,0.25,1.0
152,57.0,0.25,1.0
153,60.0,1.125,4.0
154,60.0,0.125,4.0
155,60.0,0.125,4.0
156,62.0,0.125,4.0
157,65.0,0.25,4.0
158,62.0,0.125,4.0
159,60.0,0.125,4.0
160,60.0,1.125,1.0
161,60.0,0.125,1.0
162,60.0,0.125,1.0
163,62.0,0.125,1.0
164,60.0,0.25,1.0
165,57.0,1.5,1.0
166,60.0,0.125,4.0
167,60.0,0.125,4.0
168,62.0,0.125,4.0
169,60.0,0.25,4.0
170,60.0,0.25,4.0
171,57.0,0.125,1.0
172,60.0,0.625,1.0
173,60.0,0.5,1.0
174,60.0,0.25,1.0
175,60.0,0.125,1.0
176,57.0,0.125,1.0
177,60.0,1.5,1.0
178,60.0,0.125,1.0
179,60.0,0.125,1.0
180,62.0,0.125,1.0
181,65.0,0.125,1.0
182,67.0,0.125,1.0
183,62.0,0.125,1.0
184,60.0,0.125,1.0
185,60.0,1.125,1.0
186,60.0,0.125,1.0
187,60.0,0.125,1.0
188,62.0,0.125,1.0
189,60.0,0.125,1.0
190,55.0,0.125,1.0
191,57.0,0.25,1.0
192,60.0,1.125,4.0
193,60.0,0.125,4.0
194,60.0,0.125,4.0
195,62.0,0.125,4.0
196,65.0,0.125,4.0
197,67.0,0.125,4.0
198,62.0,0.125,4.0
199,60.0,0.125,4.0
200,60.0,0.375,1.0
201,60.0,0.75,1.0
202,60.0,0.125,1.0
203,60.0,0.125,1.0
204,62.0,0.125,1.0
205,60.0,0.125,1.0
206,55.0,0.125,1.0
207,57.0,1.5,1.0
208,60.0,0.25,4.0
209,62.0,0.125,4.0
210,60.0,0.125,4.0
211,57.0,0.125,4.0
212,60.0,0.375,4.0
