,note,length,diatonic root
0,43.0,0.125,1.0
1,45.0,0.25,1.0
2,48.0,0.125,1.0
3,48.0,0.125,1.0
4,48.0,0.125,1.0
5,48.0,0.125,1.0
6,48.0,0.125,1.0
7,48.0,0.125,1.0
8,45.0,0.125,1.0
9,48.0,0.25,1.0
10,45.0,0.5,1.0
11,43.0,0.125,1.0
12,45.0,0.125,1.0
13,45.0,0.125,1.0
14,48.0,0.25,1.0
15,45.0,0.125,1.0
16,48.0,0.25,1.0
17,48.0,0.125,1.0
18,45.0,0.125,1.0
19,48.0,0.25,1.0
20,45.0,0.5,1.0
21,43.0,0.125,1.0
22,45.0,0.125,1.0
23,45.0,0.125,1.0
24,48.0,0.25,1.0
25,48.0,0.25,1.0
26,48.0,0.25,1.0
27,48.0,0.125,1.0
28,45.0,0.125,1.0
29,48.0,0.375,1.0
30,45.0,0.625,1.0
31,48.0,0.25,1.0
32,45.0,0.125,1.0
33,48.0,0.125,1.0
34,48.0,0.25,1.0
35,45.0,0.25,1.0
36,43.0,0.625,1.0
37,43.0,0.125,1.0
38,45.0,0.125,1.0
39,45.0,0.125,1.0
40,48.0,0.25,1.0
41,48.0,0.25,1.0
42,48.0,0.25,1.0
43,45.0,0.25,1.0
44,48.0,0.125,1.0
45,45.0,0.25,1.0
46,45.0,0.625,1.0
47,48.0,0.125,1.0
48,48.0,0.125,1.0
49,48.0,0.125,1.0
50,45.0,0.125,1.0
51,48.0,0.25,1.0
52,45.0,0.25,1.0
53,48.0,0.75,1.0
54,45.0,0.25,1.0
55,48.0,0.125,1.0
56,48.0,0.375,1.0
57,48.0,0.125,1.0
58,48.0,0.125,1.0
59,48.0,0.125,1.0
60,48.0,0.125,1.0
61,48.0,0.125,1.0
62,48.0,0.25,1.0
63,48.0,0.125,1.0
64,48.0,0.25,1.0
65,48.0,0.125,1.0
66,48.0,0.125,1.0
67,50.0,0.125,1.0
68,50.0,0.25,1.0
69,50.0,0.25,1.0
70,48.0,0.25,1.0
71,45.0,0.125,1.0
72,43.0,1.0,1.0
73,50.0,0.5,1.0
74,50.0,0.25,1.0
75,48.0,0.125,1.0
76,48.0,1.125,1.0
77,50.0,0.5,1.0
78,50.0,0.25,1.0
79,48.0,0.125,1.0
80,48.0,1.125,1.0
81,50.0,0.5,1.0
82,50.0,0.25,1.0
83,48.0,0.125,1.0
84,48.0,1.125,1.0
85,50.0,0.5,1.0
86,50.0,0.25,1.0
87,48.0,0.125,1.0
88,48.0,1.125,1.0
89,50.0,0.5,1.0
90,50.0,0.25,1.0
91,48.0,0.125,1.0
92,48.0,1.125,1.0
93,48.0,0.25,1.0
94,48.0,0.25,1.0
95,48.0,0.25,1.0
96,48.0,0.125,1.0
97,48.0,0.125,1.0
98,48.0,0.25,1.0
99,48.0,0.25,1.0
100,48.0,0.5,1.0
101,48.0,0.25,1.0
102,48.0,0.125,1.0
103,48.0,0.125,1.0
104,48.0,0.125,1.0
105,48.0,0.125,1.0
106,48.0,0.125,1.0
107,50.0,0.25,1.0
108,45.0,0.375,1.0
109,43.0,0.5,1.0
110,50.0,0.5,1.0
111,50.0,0.25,1.0
112,48.0,0.125,1.0
113,48.0,1.125,1.0
114,50.0,0.5,1.0
115,50.0,0.25,1.0
116,48.0,0.125,1.0
117,48.0,1.125,1.0
118,50.0,0.5,1.0
119,50.0,0.25,1.0
120,48.0,0.125,1.0
121,48.0,1.125,1.0
122,50.0,0.5,1.0
123,50.0,0.25,1.0
124,48.0,0.125,1.0
125,48.0,0.75,1.0
126,43.0,0.125,1.0
127,45.0,0.125,1.0
128,45.0,0.125,1.0
129,48.0,0.25,1.0
130,45.0,0.125,1.0
131,48.0,0.375,1.0
132,45.0,0.125,1.0
133,45.0,0.125,1.0
134,48.0,0.125,1.0
135,48.0,0.125,1.0
136,48.0,0.25,1.0
137,48.0,0.5,1.0
138,48.0,0.125,1.0
139,48.0,0.125,1.0
140,48.0,0.125,1.0
141,48.0,0.125,1.0
142,48.0,0.125,1.0
143,48.0,0.125,1.0
144,48.0,0.25,1.0
145,50.0,0.125,1.0
146,50.0,0.125,1.0
147,45.0,0.125,1.0
148,43.0,0.625,1.0
149,50.0,0.5,1.0
150,50.0,0.25,1.0
151,48.0,0.125,1.0
152,48.0,1.125,1.0
153,50.0,0.5,1.0
154,50.0,0.25,1.0
155,48.0,0.125,1.0
156,48.0,1.125,1.0
157,50.0,0.5,1.0
158,50.0,0.25,1.0
159,48.0,0.125,1.0
160,48.0,1.125,1.0
161,50.0,0.5,1.0
162,50.0,0.25,1.0
163,48.0,0.125,1.0
164,48.0,4.0,1.0
165,48.0,0.25,1.0
166,45.0,0.125,1.0
167,48.0,0.375,1.0
168,45.0,0.125,1.0
169,43.0,0.125,1.0
170,48.0,0.25,1.0
171,48.0,0.125,1.0
172,45.0,0.625,1.0
173,48.0,0.25,1.0
174,45.0,0.125,1.0
175,48.0,0.25,1.0
176,48.0,0.25,1.0
177,50.0,0.375,1.0
178,45.0,0.125,1.0
179,45.0,0.125,1.0
180,43.0,0.5,1.0
181,48.0,0.125,1.0
182,48.0,0.25,1.0
183,48.0,0.25,1.0
184,45.0,0.375,1.0
185,48.0,0.25,1.0
186,48.0,0.125,1.0
187,48.0,0.125,1.0
188,45.0,0.5,1.0
189,48.0,0.25,1.0
190,48.0,0.125,1.0
191,48.0,0.125,1.0
192,48.0,0.25,1.0
193,48.0,0.25,1.0
194,48.0,0.125,1.0
195,48.0,0.25,1.0
196,45.0,0.625,1.0
197,50.0,0.5,1.0
198,50.0,0.25,1.0
199,48.0,0.125,1.0
200,48.0,1.125,1.0
201,50.0,0.5,1.0
202,50.0,0.25,1.0
203,48.0,0.125,1.0
204,48.0,1.125,1.0
205,50.0,0.5,1.0
206,50.0,0.25,1.0
207,48.0,0.125,1.0
208,48.0,1.125,1.0
209,50.0,0.5,1.0
210,50.0,0.25,1.0
211,48.0,0.125,1.0
212,48.0,1.125,1.0
213,48.0,0.25,1.0
214,48.0,0.25,1.0
215,48.0,0.25,1.0
216,48.0,0.25,1.0
217,48.0,0.125,1.0
218,48.0,0.25,1.0
219,48.0,0.25,1.0
220,48.0,0.125,1.0
221,48.0,0.125,1.0
222,48.0,0.375,1.0
223,48.0,0.25,1.0
224,48.0,0.125,1.0
225,48.0,0.125,1.0
226,45.0,0.125,1.0
227,45.0,0.125,1.0
228,48.0,0.25,1.0
229,48.0,0.125,1.0
230,48.0,0.625,1.0
231,50.0,0.5,1.0
232,50.0,0.25,1.0
233,48.0,0.125,1.0
234,48.0,1.125,1.0
235,50.0,0.5,1.0
236,50.0,0.25,1.0
237,48.0,0.125,1.0
238,48.0,1.125,1.0
239,50.0,0.5,1.0
240,50.0,0.25,1.0
241,48.0,0.125,1.0
242,48.0,1.125,1.0
243,50.0,0.5,1.0
244,50.0,0.25,1.0
245,48.0,0.125,1.0
