,note,length,diatonic root
0,48.0,0.625,1.0
1,48.0,0.125,1.0
2,52.0,0.125,1.0
3,53.0,0.125,1.0
4,52.0,0.125,1.0
5,48.0,0.125,1.0
6,45.0,0.125,1.0
7,48.0,0.25,1.0
8,48.0,0.125,1.0
9,52.0,0.125,1.0
10,53.0,0.125,1.0
11,53.0,0.125,1.0
12,53.0,0.125,1.0
13,50.0,0.125,1.0
14,48.0,0.125,1.0
15,52.0,0.125,1.0
16,48.0,0.125,1.0
17,45.0,0.125,1.0
18,48.0,0.125,1.0
19,48.0,1.0,1.0
20,48.0,0.125,1.0
21,45.0,0.125,1.0
22,48.0,0.5,1.0
23,48.0,0.125,1.0
24,50.0,0.125,1.0
25,48.0,0.125,1.0
26,50.0,0.125,1.0
27,48.0,0.125,1.0
28,45.0,0.375,1.0
29,48.0,0.125,1.0
30,52.0,0.125,1.0
31,53.0,0.125,1.0
32,55.0,0.125,1.0
33,53.0,0.125,1.0
34,50.0,0.125,1.0
35,48.0,0.125,1.0
36,50.0,0.125,1.0
37,48.0,0.125,1.0
38,45.0,0.125,1.0
39,48.0,1.125,1.0
40,50.0,0.625,1.0
41,50.0,0.125,2.0
42,53.0,0.125,2.0
43,55.0,0.125,2.0
44,53.0,0.125,2.0
45,50.0,0.125,2.0
46,48.0,0.375,2.0
47,50.0,0.125,2.0
48,53.0,0.125,2.0
49,55.0,0.125,2.0
50,55.0,0.125,2.0
51,55.0,0.125,2.0
52,53.0,0.125,2.0
53,50.0,0.125,2.0
54,53.0,0.125,2.0
55,50.0,0.125,2.0
56,48.0,0.125,2.0
57,50.0,0.25,2.0
58,50.0,0.375,2.0
59,50.0,0.5,2.0
60,55.0,0.625,2.0
61,55.0,0.125,5.0
62,57.0,0.125,5.0
63,55.0,0.125,5.0
64,57.0,0.125,5.0
65,55.0,0.125,5.0
66,53.0,0.375,5.0
67,55.0,0.125,5.0
68,57.0,0.125,5.0
69,55.0,0.125,5.0
70,57.0,0.125,5.0
71,55.0,0.125,5.0
72,57.0,0.125,5.0
73,55.0,0.125,5.0
74,57.0,0.125,5.0
75,55.0,0.25,5.0
76,53.0,0.125,5.0
77,55.0,0.125,5.0
78,55.0,0.125,5.0
79,53.0,0.125,5.0
80,55.0,0.5,5.0
81,53.0,0.125,5.0
82,55.0,0.125,5.0
83,55.0,0.125,5.0
84,53.0,0.125,5.0
85,55.0,0.5,5.0
86,53.0,0.125,5.0
87,55.0,0.125,5.0
88,55.0,0.125,5.0
89,53.0,0.125,5.0
90,55.0,2.5,5.0
91,48.0,0.625,4.0
92,48.0,0.125,1.0
93,50.0,0.125,1.0
94,48.0,0.125,1.0
95,50.0,0.125,1.0
96,48.0,0.125,1.0
97,45.0,0.375,1.0
98,48.0,0.125,1.0
99,50.0,0.125,1.0
100,53.0,0.125,1.0
101,55.0,0.125,1.0
102,53.0,0.125,1.0
103,50.0,0.125,1.0
104,48.0,0.125,1.0
105,52.0,0.125,1.0
106,48.0,0.125,1.0
107,45.0,0.125,1.0
108,48.0,1.125,1.0
109,48.0,0.625,1.0
110,48.0,0.125,1.0
111,50.0,0.125,1.0
112,48.0,0.125,1.0
113,50.0,0.125,1.0
114,48.0,0.125,1.0
115,45.0,0.375,1.0
116,48.0,0.125,1.0
117,50.0,0.125,1.0
118,53.0,0.125,1.0
119,55.0,0.125,1.0
120,53.0,0.125,1.0
121,50.0,0.125,1.0
122,48.0,0.125,1.0
123,50.0,0.125,1.0
124,48.0,0.125,1.0
125,45.0,0.125,1.0
126,48.0,1.125,1.0
127,50.0,0.625,1.0
128,50.0,0.125,2.0
129,53.0,0.125,2.0
130,55.0,0.125,2.0
131,53.0,0.125,2.0
132,50.0,0.125,2.0
133,48.0,0.375,2.0
134,50.0,0.125,2.0
135,53.0,0.125,2.0
136,55.0,0.125,2.0
137,55.0,0.125,2.0
138,55.0,0.125,2.0
139,53.0,0.125,2.0
